"SAQ01","SAQ02","SAQ03","SAQ04","SAQ05","SAQ06","SAQ07"
"He discovered tea while resting under a tree , a wind blew leaves into the pot of boiling water. ","Macha is made by steaming the leaves, drying and stone grinding. ","Tea, Silk and Porcelain ","They cede Honk Kong due to loosing the opium war. 
","The need to deliver fresh tea from China to London very fast. ","The tea was introduced by personnel returning from China","She was credited for popularizing the drink in England."
"He poisoned himself and then a leaf fell in his mouth. After chewing it, he got revived.","Tea leaves were heated, do small cakes out of the mixture, then grind in powder and heated again with water.","Silk, china and tea","They got defeated in the war","To beat competition","By a monk","Making tea popular. "
"I think he was injured and used tea leaves for his wounds","the tea leaves were grinder whole ","tea, porcelain, silver","Opium crisis? they lost the war ","getting tea from china?","by monks who brought the tea from china","popularising tea and importing it from China"
"I do not remember. Sorry","The tea leaves were grounded to powder and hot water was used to make the tea","silk, porcelain, and tea","Becasue they lost the tea war","To be used in the tea trade","Japanese tea workers brought it to Japan","do not remember"
"the tea leaves accidently fell into his pot of water that was boiiling ","It was made with water and when leaves were left to soak it became matcha ","tea, silk, I don't know the last one ","Because it was in their best interest","To get tea to and from china faster ","They took tea plants and growers over ","Bringing tea to England "
"discovered by accident","ground tea","tea silk spices","china lost wars to the british","transportation of tea","a sample was stolen from china","introducing the consumption of tea to the british and europe"
"Cant remember","Grinding the leaves into a powder and then mixing with water","Porcelain, Silk, Tea","Cant remember","England needed a fast boat to export tea from China to the rest of the world to maximise profits","Cant remember","Bringing tea to England
"
"I think he was boiling some water and some tea leaves blew into it and he realised that it had medicinal properties as a cure for poison, or something along that vein","The tea leaves were ground down to a powder and mixed with water. ","pottery, tobacco and medicines","Opium use had got out of hand and so China decided to keep the trade going from one place rather than all along the coast. So Britain could only use  Hong Kong to  trade tea.","The popularity of tea in the UK led to more demand and so the clipper ship was created to get more tea to the UK quicker. A trade was set up and tea was traded for opium.","Someone disguised himself as a worker and travelled across the border with some other workers to take the tea to Japan","She married a King of England and introduced her love of tea to Britain."
"He was poisoned and ate a tea leaf to counteract the poison","It is made by grinding up tea leaves and pressing them into cakes","Tea, silk and porcelain ","It was part of the Opium wars and given to Britain as part of the peace treaty and to give them a trading port in China","The race to export tea to europe in the quickest possible times to drive profit","No idea","Introducing the drink of tea with hot water to eurpoe"
"I don't remember.","Green tea grown in shade.","Tea","The opium wars.","Gold and tea transportation.","I don't remember.","Making tea popular as a drink."
"He scratched himself and a rubbing tea leaves on the wound healed it","Powdered tea whipped with hot water to create a foamy drink","Tea. Rice. Silk.","As part of a peace deal after the Opium Wars","The race by different countries and companies to get tea from China to Europe faster than their competitors.","I can't remember","Making tea drinking popular in England"
"leaves drifted into boiling water he was preparing","by steaming young tea leaves, drying and then removing the stems. Grinded into a fine powder","tea, silk and porcelain","lost the  opium war","to bring tea from China to Britain as fast as possible","Buddhist monks","Popularising tea drinking in England"
"Accidently, can't remember the details","By using green tea leaves. I can't remember anything else.","tea, ceramics, silk","To stop the war, they agreed to cede Hong Kong in return for peace.","It was to make more profit. There was a lot of competition importing tea into Europe therefore being able to transfer it fast meant being able to have an advantage and make more money.","I think it was brought to Japan by a monk.","Bringing tea to England"
"Leaves from a wild tea plant blew into the water he was boiling, and he decided to taste it.","The tea leaves were steamed, dried, then ground into a fine powder and mixed with hot water.","Tea, silk, and porcelain","After losing the First Opium War, China was forced to give Hong Kong to Britain under the Treaty of Nanking.","The race to bring fresh tea to Britain as quickly as possible pushed shipbuilders to design faster vessels, leading to the clipper ship.","Buddhist monks brought tea from China back to Japan.","She helped make tea fashionable at the English royal court and popular among the upper class."
"He was poisoned and a tea leaf cured him","Drying tea leaves into cakes and grinding them then mixing with water","Tea, opium and tobacco","To end the opium wars","Tea exports around the world","By a monk","Popularising tea among aristocracy"
"fell from the skies","powdered tea that was heated ","tea porcelain silk","to end a war","get tea delivered faster to Europe","as powder","brewing tea as a drink"
"He was poisoned and about to die when a tea leaf flew into his mouth and revived him","Matcha was made by first grinding tea cakes into powder and then whisking it in a bowl to make the liquid foamed version of tea.","Silk, tea, and porcelain","Because of the first opium war. They had to cede Hong Kong because they lost.","It was created so that the British could ship tea faster from China to Britain.","Some monks brought the first tea plant into the country","She was the first person who had tea and then introduced it to the rest of Britain"
"it was something to do with being cured of poison 72 times","macha is made by preserving the tea in its natural form and not putting it through the drying process to turn it black","Tea, porcelain and silk ","to end the tea wars","The clipper ship was I think by the East India Dock company to speed up tea runs back to Europe","I honestly cant remember how tea was introduced to Japan, maybe something to do with travelling monks maybe?","was she responsible for popularising tea?"
"He was poisoned and ate the leaves to cure the poisoning.","The tea leaves were dried and ground up into a powder, then mixed with hot milk. Patterns were drawn in the froth on the milk.","Tea, silk and porcelain china.","After the first opium war, but I don't know the year.","Consumption of tea was on the rise across the world, largely due to the spread of the British Empire. Tea trading was a lucrative business and getting the tea to market before competitors was important.","It was mixed with grain porridge.","I don't know"
"He poisoned himself multiple times, and when he ate tea it cured him.","Pressed into cakes","Porcelain, tea, and another thing.","Because of a war.","Competition to trade tea the fastest.","Through trade.","No clue."
"he was poisened by eating plants and the tea cured him","infusing ground leaves with water","tea, silk and ?","because they lost the opium wars","to bring back tea from China","traders smuggled it from China","filtering water through the tea to create modern way of drinking tea"
"some wild tea leaves accidentally fell into his pot of boiling water and he enjoyed the taste","Tea leaves are steamed and dried before being ground into a fine green powder","tea, porcelain, silk","China ceded Hong Kong to Britain due to its defeat in the first opium war. This allowed Britian to have a trading port in Hong Kong","The clipper ship was used to facilitate high speed trade to deliver tea from China to Europe","seeds and plants were taken to japan by travellers and envoys","she created a ritual of drinking tea in the afternoon which became very popular"
"He thought the leaves could be herbal medicine to help cure poisoning.","Grinding the tea leaves into powder.","Porcelain, silk and tea","They lost in the war and this was part of the agreement in order for them to end the conflict.","There was competition between the trading companies to make more money from the tea.","One of the monks brought tea over from China.","For bringing tea leaves to Europe."
"sitting under a tree, eating falling or fallen tea leaves, possibly to try and cure food poisoning or a stomach upset.","tea leves ground up in a paste, water added, cake pressed, sugar or condiments added, then cake eaten as a food as a round flat cake.","silk, tea, porcelain ","because china lost the opium wars, and this was a treaty settlement in favour of the british isles.","The east india company. Thermopolae or cutty sark sailing 'clipper' ships.","by a mystic who sat under a tree plant, and eat a falling leaf to supposedly cure food poisoning.","Making tea drinking popular in Europe as a drink, rather than as an eaten food."
"On a tree","Whisking tea with a wooden brush","tea","To appease them","To transport tea","By boat","Bringing tea to England"
"A leaf floated into the farmers mouth","Matcha was made with the tea leaves, heat and moisture","Tea silk ","Don't know","Trade of opium for tea","Via art","Silk"
"He poisoned himself accidentally and before the poisons could end his life a tea leave landed in his mouth and he chewed on it which resulted in him discovering tea.","Matcha was made by grounding up tea leaves and mixing with hot water.","Porcelain, silk and tea were the three essential export goods","The British took over Hong Kong during a war called the opium war and the British took over","The sale of tea was vast and this led to the creation of the clipper ship.","In the 9th century tea was introduced by creating cakes and grinding it into a powder","She was credited of introducing her husband to drinking tea which introduced the British to the tea culture we know today"
"He found tea leaves which had nice scent and aromatic flavour. He mixed tea leaves in food and started consuming it.","Matcha which is a form of tea was made from tea leaves. Tea leaves were crushed in solid blocks which was then changed to a powder form . The powder was mixed in hot water and was consumed as beverage called matcha.","Tea leaves, oil, paintings","Through ship export.","Clipper ship was the sailboat which exported tea to the Europian countries from China.","It was exported and was consumed in a powder form mixed in hot water.","For making tea in hot water"
"I dont know","it is steamed and then dried out , then ground down to create a powder form","tea silk and porcelin","Due to defeat in the opium war so they were forced to hand it over","Faster cargo transport of perishable goods was needed ","Buddhist monks used it as a medicinal purpose ","she made tea popular to drink"
"he was poisoned, a leaf of tea fell from a tree and into his mouth. He chewed on the leaf and was revived (cured of the poisoning)","by drying tea leaves and making a fine powder from them","Silk, tea, opium","because he was not successful in destroying ships that traded opium for tea","the need to quickly transport tea across the globe","in the form of dried cakes? via boats","Bringing Tea to England"
"he ate the leaves, but then by accident water dripped and it created the drink","by picking the leaves ","silk tea and porcelain","unsure ","it was created for the faster importation of tea","unsure ","introducing tea to england"
"tea by accident","with chemicals","electrics and cars as in goods","because of the opium wars","so it could race to be the fastest t get tea over here","by monks retunring","drinking tea"
"He sampled several plants which were poisinous, he then discovered the tea leaves.","macha was made by grinding down the tea leaves in to a fine powder","Tea, Silk and porcelain","Something to do with the war and thneir security!","The high demand for the tea","Due to trading","No idea"
"He took as an antidote to poison","It was ground into powder","Tea, porcelain and silk","Due to being defeated in the opium war","The transport of tea","By buddhist monks?","For making tea popular?"
"He was poisoned 74 times, then as he was laying sick a tea leaf dropped into his mouth, he chewed it and was cured. 
","It was scraped off from a cake of dried tea, and heated in water or milk.","Porcelain, tea, opium. ","The Opium Wars.","The competition to be the fastest at shipping tea to the UK.","I don't know.","Popularising tea."
"I don't remember","Tea plants were harvested then dried in compressed cakes. These were then ground into matcha powder which was prepared as a drink by being whisked with hot water","Tea, porcelain and silk","In partial settlement of the opium war","The commercial necessity to get tea back from China to Britain faster than one's competitors","As a vegetable? not sure, sorry","Popularising the drinking of tea"
"By finding the leaves and realising they were edible?","The tea leaves were roasted and ground into a fine powder","Tea, silk, dye","To stop opium trading?","Tea export from Hong Kong","Trade with China","Bringing tea to the Iberian peninsula"
"by accident","By compressing the tea in to cakes and then disolving the cakes in hot water.","Silk, Tea and porcelain ","To pay off debts","The need to get tea to India and make tea more easily exportable","By trade with China","Making Tea popular in Europe"
"a tea leaf fell into his mouth and cured him when he was ill","grinding tea leaves","tea, silk, tobacco","Don't know","to transport tea around the world quickly","A guy ate lots of different plants and got ill, then a tea leaf went into his mouth, curing him of his ailments","Bringing tea to the country"
"He was poisoned, sat down to rest and a tea leaf flew in his mouth and revitalized him ","By mixing tea leaves with boiling water and stirring","Silk, porcelain, and tea. ","They lost the First Opium War ","European powers competing against each other to bring tea back from China the fastest. ","Travellers to China discovered the Chinese drinking it and brought it back to Japan as plants to grow. ","Making tea drinking fashionable among Europeans."
"He was poisoned, and a leaf drifted into his mouth. He chewed on the leaf and became better.","Heat tea, pack it into portable cakes, grind it into powder and mix it with hot water. This creates matcha.","Tea
Porcelain
Silk","I don't remember.","To bring tea to Europe first to maximize their profit.","A Japanese brought the first tea plant to Japan. The Japanese did their own unique rituals around tea.","She made the tea popular."
"he discovered tea in 2737 Bc Through a happy accident","Matcha is made by shading green tea leaves, drying them and grinding them into a fine powder","Silk. Tea, Porcelain","China ceded Hong Kong to Britain after losing thw first Opium war","It was created to move goods faster especially tea during growing global trade","Tea was introduced to Japan in the 9th century mainly through cultural and religious exchanges with china during the Heian period","Queen Catherine of Braganza is credited with popularising tea drinking in England in the 1600s"
"he ground it into his porridge","ground dried tea leaves into cakes then added milk? and whisked into it","tea, porcelain, silk","Because it was an important port","The need for it to be fast for trade routes","a botanist took tea plants and workers who knew how to grow it from China","making tea drinking popular"
"while sitting under the tree and a leave blew on his face","by grinding leaves","porcelain, silk and tea","the ports","to trade for tea leaves ","importing it ","growing tea"
"Aftetr being poisoned","Matcha is made by shade growing tea plants, harvesting the leaves, steaming and drying them, removing stems and veins, and then grinding the leaves into a fine green powder using stone mills.","tea","losing the First Opium War","To transport tea from China to Britain","Through a monk","popularizing tea drinking in England"
"He poisoned himself a lot and then a leaf fell into the water and he drank it which made him better. However there are no known poison cures that tea gives","Squishing dry tea leaves into a cake shape","Tea and pottery. I can't remember the third thing","Something to do with opium wars and being smashed up by British vessels offshore","Being able to get tea for China to Europe the fastest","Someone travelled to Japan with the plant so they could grow it","She made Tea drinking popular"
"He poisoned himself with other edible grains, but before they could end his life he tried one more which later became tea  ","It used to be eaten as a vegetable and later on some discovered that a combination of heat and water can create matcha ","tea, porcelain and silk","because they got defeated by the British ","to be able to bring more goods over from china ","from the British ","for making tea popular "
"A leaf blew into his mouth and made him better after he had been poisoned trying other leaves.","The leaves were grounded","tea, silk and porcelain","I cannot remember.","to bring tea quicker and fresh to Europe","I cannot remmember","making drinking tea fashionable "
"He got poisoned 72 times, and then he found a cure, which was a tea leaf. ","In Japan by hand-picking leaves","Tea, ","There was a war over opium. ","To bring more tea to Europe","I think monks from China brought it to Japan. I don't remember much","Changing the currency from silver to opium"
"I am not sure/dont remember now ","Tea was changed into cakes then  boiled to consume as a drink ","Porcelain 
Silk
Tea","They lost the First opium war ","To get a foothold of tea trade between China and Europe ","I dont remember exactly but I think it was Buddhist monks","Introducing tea to the English people "
"he was poisoned, a leaf dropped inside his mouth and he chew it by mistake. He survived. He then discovered the tea","matcha was firstly made by eating eat and then was introduced as drinking","silk, tea and porcelain","because lost the opium war ","intense commercial pressure especially tea from China","they brought tea seeds to japan and they aknowledge the drinking of tea","because she introduced first the tea drinking in England"
"According to the ancient legend, a leaf drifted into Shennong’s mouth after he had accidentally poisoned himself, and when he chewed it, it revived him, leading to the discovery of tea.","Matcha was made by heating tea leaves, packing them into portable cakes, grinding them into powder, and then mixing the powder with hot water to create a beverage.","Tea, porcelain, and silk.","China ceded Hong Kong to the British because it was defeated in the First Opium War and had to resume trading on unfavourable terms.","Intense competition between Western trading companies to bring tea back to Europe first and maximize profits led to the creation of the clipper ship.","Tea was introduced to Japan in the 9th century when a Japanese monk brought the first tea plant from China to Japan.","She is credited with making tea popular among the English aristocracy after marrying King Charles II in 1661."
