StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q_RecaptchaScore,part3_id,SAQ01,MCQ01,SAQ02,MCQ02,SAQ03,MQ03,SAQ04,MCQ04,SAQ05,MCQ05,SAQ06,MCQ06,SAQ07,MCQ07,SC0,Q_RecaptchaStatus,Q_RecaptchaError,Q_BallotBoxStuffing,PROLIFIC_PID
29/04/2026 10:03,29/04/2026 10:08,IP Address,100,270,TRUE,29/04/2026 10:08,R_8M3VgxAjsdJi7SG,anonymous,EN,1,62c6ad01d7ad711abdf2eb4c,i don't know (sorry),As a vegetable,"Tea leaves are heated, then dried and made into a powder",shifted the standard from tea pressed into cakes to loose leaf tea,"Porcelain, silk and tea","silver, opium",Because of opium debt,To grow tea themselves and control the market,"There was a war, the opium wars and they needed a fast boat to bring tea to england",second,by a japanese monk and a tea ceremony,English traders brought tea to Europe,Bringing tea to England,10 times more than,6,complete,,,62c6ad01d7ad711abdf2eb4c
29/04/2026 10:02,29/04/2026 10:08,IP Address,100,366,TRUE,29/04/2026 10:08,R_2ngjBcZHUjUTmCt,anonymous,EN,1,62b437a2dbff0b6b3d0121e4,tea leaves fell in his hot water by accident,As a vegetable,grinding tea leaves into powder,cut down on the export of porcelain and silk to make tea the main export good,tea silk and porcelain,"silver, opium",Because they lost the opium war,To grow tea themselves and control the market,demand for tea to be transported faster,second,Monks bringing it from China,Dutch traders brought tea to Europe,introducing tea drinking to England,10 times more than,6,complete,,,62b437a2dbff0b6b3d0121e4
29/04/2026 10:03,29/04/2026 10:09,IP Address,100,379,TRUE,29/04/2026 10:09,R_2Lp2PHw88MCkJTn,anonymous,EN,1,670be097fae6e39ea154f7df,he poisoned himself 72 times then a tea leaf fell into his mouth and revived him,As a vegetable,tea cakes were put into hot water,shifted the standard from tea pressed into cakes to loose leaf tea,"opium, tea, coffee","silver, opium",dont remember,To grow tea themselves and control the market,dont remember,second,monk brought a plant with him,Dutch traders brought tea to Europe,dont remember maybe ending exploiting workers?,10 times more than,7,complete,,,670be097fae6e39ea154f7df
29/04/2026 10:04,29/04/2026 10:09,IP Address,100,303,TRUE,29/04/2026 10:09,R_2si70cfJfAhshQF,anonymous,EN,1,673741d5e8999c8a575d36b1,Dont remember,As a vegetable,Blending and straining leaves,shifted the standard from tea pressed into cakes to loose leaf tea,"TEA, HERBS, MEDICINE","gold, opium",To export goods,To grow tea themselves and control the market,To send tea across the water in bulk,second,As leaves for making drinks,English traders brought tea to Europe,Serving tea at their wedding,10 times more than,5,complete,,,673741d5e8999c8a575d36b1
29/04/2026 10:06,29/04/2026 10:09,IP Address,100,193,TRUE,29/04/2026 10:09,R_21AjIJj7CH7vifk,anonymous,EN,1,5e4feb8037713502e9ed364b,I can't remember,As a vegetable,It's made with a whisk,shifted the standard from tea pressed into cakes to loose leaf tea,"Silk, spices, tea","gold, opium",Because of the opium wars,To grow tea themselves and control the market,The need for quicker transport,second,It was introduced via tea cakes,Dutch traders brought tea to Europe,Popularising tea,10 times more than,6,complete,,,5e4feb8037713502e9ed364b
29/04/2026 10:02,29/04/2026 10:09,IP Address,100,460,TRUE,29/04/2026 10:09,R_2OZe8OFjeWolfYl,anonymous,EN,1,676556ccb7aac9ede13d73c9,I can't remember,As a drink,I don't remember,allowed tea to be the subject of books and poetry,"tea, opium, rice","silver, opium","because of the importance of Hong Kong being an important port, vital to the export of tea",To grow tea themselves and control the market,"The importance of moving tea far quicker, across the world",second,From China,English traders brought tea to North America,bringing tea to Europe,10 times more than,4,complete,,,676556ccb7aac9ede13d73c9
29/04/2026 10:01,29/04/2026 10:10,IP Address,100,525,TRUE,29/04/2026 10:10,R_8AEAzu97xWdkM95,anonymous,EN,1,66d31a1b0515fe747830bab9,he ate something poisonous and by eating tea leaves it provided an anti dote,As a vegetable,by drying the leaves and then grinding them up,shifted the standard from tea pressed into cakes to loose leaf tea,"porcelain, silk, tea","silver, opium",1842,To grow tea themselves and control the market,so it was able to transport tea from overseas faster  thus maximising the profits,second,by monks returning from china,English traders brought tea to Europe,making tea drinking in england popular,10 times more than,6,complete,,,66d31a1b0515fe747830bab9
29/04/2026 10:06,29/04/2026 10:10,IP Address,100,219,TRUE,29/04/2026 10:10,R_2BDjoDzu8wbsREZ,anonymous,EN,1,5f5503ae8eeab9093c445251,He had poisoned himself and he accidentally tried a tea leaf and it cured him ,As a seasoning,Tea leaves are made into a paste and then water is added,shifted the standard from tea pressed into cakes to loose leaf tea,"Porcelain, silk and tea","silver, opium",In the opium wars,To grow tea themselves and control the market,Due to competitive the British build faster ships,second,Can't remember,English traders brought tea to Europe,Can't remember ,double,4,complete,,,5f5503ae8eeab9093c445251
29/04/2026 10:06,29/04/2026 10:10,IP Address,100,273,TRUE,29/04/2026 10:10,R_2fPhYHMhzTjBKmT,anonymous,EN,1,628f7669ee68aabf3930123b,In blew in his mouth whilst he was poisoned ,As a vegetable,By stewing the leaves in water,cut down on the export of porcelain and silk to make tea the main export good,"Silk, Tea, spices","silver, opium",striking a deal due to the opium war,To grow tea themselves and control the market,The rush to get tea back to the UK as fast as possible to keep the leaves fresher,first,Traders crossing the sea?,English traders brought tea to Europe,popularising tea being drunk,10 times more than,4,complete,,,628f7669ee68aabf3930123b
29/04/2026 10:05,29/04/2026 10:10,IP Address,100,317,TRUE,29/04/2026 10:10,R_8kkaYTNpEXYOJj5,anonymous,EN,1,6319ff03df1e7848122f18b1,Leaf fell into water,As a seasoning,using the tea leafs,shifted the standard from tea pressed into cakes to loose leaf tea,"tea, textiles ","silver, opium",opium war,To grow tea themselves and control the market,transport tea,second,introduced by travelers,English traders brought tea to Europe,Making tea famous,10 times more than,5,complete,,,6319ff03df1e7848122f18b1
29/04/2026 10:03,29/04/2026 10:10,IP Address,100,467,TRUE,29/04/2026 10:10,R_2SfcD7rlD1F4p3u,anonymous,EN,1,5efb79846ed89a0e53051c30,A tea leaf fell into his mouth during his search in the forest,As a drink,Matcha was made by taking tea leaves and grinding them into a fine powder,allowed tea to be the subject of books and poetry,"tea, silk and porcelain","gold, opium",Because of power struggles with regards to the opium war that they were losing,To grow tea themselves and control the market,I can't remember maybe the clipper slip was created to export large amounts of tea across the world ,first,Tea was introduced to Japan by a japanese monk,Dutch traders brought tea to Europe,She is credited for popularising tea in the UK,10 times more than,3,complete,,,5efb79846ed89a0e53051c30
29/04/2026 10:01,29/04/2026 10:11,IP Address,100,605,TRUE,29/04/2026 10:11,R_8j2r9U4gmN2Ch5j,anonymous,EN,1,56e324ade414dc000c8b40d0,He fell asleep and a tea leaf fell into his mouth.,As a vegetable,"The tea was dried, finely ground and steeped in hot water. Pictures could be drawn in the foam on the top.",shifted the standard from tea pressed into cakes to loose leaf tea,"Tea, porcelain and silk.","silver, opium",As part of peace agreements after the opium wars.,To grow tea themselves and control the market,Competition between tea importers.,second,Via a Chinese ambassador who brought tea with him.,English traders brought tea to Europe,Popularising tea in England,half,5,complete,,,56e324ade414dc000c8b40d0
29/04/2026 10:00,29/04/2026 10:11,IP Address,100,646,TRUE,29/04/2026 10:11,R_2aAZE0o5Fj9nwZj,anonymous,EN,1,6978e42e661ece4dddd9eb44,he would poison himself and the leaf will fall into his mouth and bring him back to life,As a vegetable,drying the leaves and grinding into a smooth paste and making with hot water,shifted the standard from tea pressed into cakes to loose leaf tea,"porcelain, tea and silk","silver, opium",Due to someone stealing the plant,To grow tea themselves and control the market,Due to large request for exportation of tea,second,not sure,Dutch traders brought tea to Europe,using tea for ball and for gathering for wealthy and influencial,half,6,complete,,,6978e42e661ece4dddd9eb44
29/04/2026 10:08,29/04/2026 10:12,IP Address,100,235,TRUE,29/04/2026 10:12,R_82MgeA3QX286kDx,anonymous,EN,0.899999976,5f39a2fd2d394917284dd66f,I can't remember,As a seasoning,I can't remember,allowed artists to draw pictures in the foam of the tea,"tea, silk, tobocco","gold, opium",I am not too sure about this,To grow tea themselves and control the market,I can't remember,second,I am not too sure about this either,Dutch traders brought tea to Europe,I can't remember,double,3,complete,,,5f39a2fd2d394917284dd66f
29/04/2026 10:08,29/04/2026 10:12,IP Address,100,211,TRUE,29/04/2026 10:12,R_2JkI6sR3hkkwEie,anonymous,EN,1,5d7f5edd19788b00010d954c,unsure....,As a vegetable,unsure,shifted the standard from tea pressed into cakes to loose leaf tea,"tea, opium, gold?","gold, opium",after the opium wars?,To grow tea themselves and control the market,to stop tea getting ruined enroute back to england,second,unsure,Dutch traders brought tea to Europe,bringing tea to high society in europe?,half,5,complete,,,5d7f5edd19788b00010d954c
29/04/2026 10:04,29/04/2026 10:12,IP Address,100,459,TRUE,29/04/2026 10:12,R_8O66anW52v3Hny2,anonymous,EN,,5ea20fd571038c119083a8df,It fell on his head!,As a vegetable,Something to do with leaves.,shifted the standard from tea pressed into cakes to loose leaf tea,"Porcelain, silk and tea","silver, opium",Something to do with opium (opium wars).,To grow tea themselves and control the market,To get tea to other countries as fast as possible to out pace their competitors.,second,Leaves dropping off a tree (?) and used for medicinal purposes.,English traders brought tea to Europe,"Sorry, I don't recall.",double,5,error,Timed out,,5ea20fd571038c119083a8df
29/04/2026 10:05,29/04/2026 10:12,IP Address,100,449,TRUE,29/04/2026 10:12,R_2S0lxwtVt7rKDpQ,anonymous,EN,1,63f77a5dde1ea03305e119e0,He poisoned himself and was able to cure himself with a leaf.,As a vegetable,"Heat tea, pack it into cakes, grind into a powder and mix with hot water.",shifted the standard from tea pressed into cakes to loose leaf tea,"Tea, silk, don't know","silver, opium","During the Opium War, they ceded Hong Kong to renew trading with Britain",To grow tea themselves and control the market,Intense competition between European countries trying to bring tea back from China as quickly as possible.,second,A monk brought tea leaves to Japan,Dutch traders brought tea to Europe,Making tea popular in the United Kingdom,10 times more than,7,complete,,,63f77a5dde1ea03305e119e0
29/04/2026 10:07,29/04/2026 10:12,IP Address,100,308,TRUE,29/04/2026 10:12,R_2cpvjQ6y6ehkvLW,anonymous,EN,1,5bd2a0799afb5b00015be460,He accident;y poisoned himself then a tea leaf fell into his mouth and he recovered,As a seasoning,ground into powder,shifted the standard from tea pressed into cakes to loose leaf tea,tea spices  pottery,"silver, opium",Defeat in opium war,To grow tea themselves and control the market,wanting to quickly get the tea from China to Europe,first,Buddist monks brought the tea leaves and plants into the country,English traders brought tea to Europe,popularising tea in England,10 times more than,4,complete,,,5bd2a0799afb5b00015be460
29/04/2026 10:04,29/04/2026 10:12,IP Address,100,502,TRUE,29/04/2026 10:12,R_8gR2wFGICsXis01,anonymous,EN,1,6969682819258eddb397598e,Tea leaves accidentally fell into his boiling water,As a drink,Tea leaves are dried and ground to produce a powder,shifted the standard from tea pressed into cakes to loose leaf tea,"Tea, Silk and Porcelain ","gold, opium",Because China lost the opium war,To grow tea themselves and control the market,The need to transport goods between different countries/ for trade.,second,Monks brought tea leaves from China to Japan,English traders brought tea to North America,She made tea drinking more popular,double,3,complete,,,6969682819258eddb397598e
29/04/2026 10:05,29/04/2026 10:13,IP Address,100,462,TRUE,29/04/2026 10:13,R_8dN1NRh7VXnLW2N,anonymous,EN,0.600000024,5e90540a9622ec3628270555,He was poisoned 14 times and a tea leaf fell into his mouth when he was sat under a tree and cured him,As a drink,"Steamed, dried & made into bricks",shifted the standard from tea pressed into cakes to loose leaf tea,"Tea, coffee & cotton","silver, opium",Opium war,To involve India in the war between Britain and China,Tea exportation,second,Buddhist monks on boats,English traders brought tea to North America,Brought tea to england,10 times more than,4,complete,,,5e90540a9622ec3628270555
29/04/2026 10:03,29/04/2026 10:13,IP Address,100,570,TRUE,29/04/2026 10:13,R_2bQcM3pdENMcnwZ,anonymous,EN,1,6765b501bf830acd8f0e20ba,He was poisoned by something and a tea leaf fell into his mouth and made him better.,As a vegetable,Pouring hot water onto the tea leaves.,shifted the standard from tea pressed into cakes to loose leaf tea,"Tea, silk & cotton.","silver, opium",Because people were becoming addicted to opium and causing trouble. ,To grow tea themselves and control the market,??,second,Monks having tea ceremonies.,Dutch traders brought tea to Europe,Introducing tea to England,double,6,complete,,,6765b501bf830acd8f0e20ba
29/04/2026 10:06,29/04/2026 10:13,IP Address,100,395,TRUE,29/04/2026 10:13,R_2z8zciXZ6yCLh6X,anonymous,EN,1,63ac36665e9b2bd1c2cda1ba,He had been eating plants and had been 8 times. He was slumped against a tree and a leaf blew into his mouth. He chewed the leaf and it cured him.,As a vegetable,I cannot remember.,cut down on the export of porcelain and silk to make tea the main export good,"Silk, tea and opium","silver, opium",I don't remember,To grow tea themselves and control the market,I don't remember,first,I don't remember,English traders brought tea to Europe,I don't remember,10 times more than,4,complete,,,63ac36665e9b2bd1c2cda1ba
29/04/2026 10:08,29/04/2026 10:13,IP Address,100,316,TRUE,29/04/2026 10:13,R_2jprELS2RuTIirM,anonymous,EN,1,69a335cdd0de6030573dbd20,ate the wrong toxic leaf than ate a leaf that cure the sickness,As a vegetable,tea leafs into powder and mix it with hot water,cut down on the export of porcelain and silk to make tea the main export good,"silk, tea, papers ","silver, opium",lost the opium war ,To grow tea themselves and control the market,to transfer tea leafs ,second,a monk ,Dutch traders brought tea to Europe,create a trend of drinking tea ,10 times more than,6,complete,,,69a335cdd0de6030573dbd20
29/04/2026 10:05,29/04/2026 10:14,IP Address,100,524,TRUE,29/04/2026 10:14,R_8lAevOvub3rQWOt,anonymous,EN,1,6659fb37cee75e81ac1c8e5c,He discovered tea by accent while experimenting with plants. He drank it and enjoyed the taste and found it gave him energy. ,As a seasoning,it was powdered tea made from leaves that were dried an extra time ,shifted the standard from tea pressed into cakes to loose leaf tea,"Tea, silk and porcelain ","silver, opium",it was a peace deal as a result of defeat in the war against opium. British started giving china opium instead of silver as they were running out which caused major addictions in china. ,To bring tea culture to India,Transporting tea as quickly as possible between countries ,second,Via monks who were sent on missions to China and brought it back with them ,English traders brought tea to Europe,She popularised tea drinking in England. ,10 times less than,3,complete,,,6659fb37cee75e81ac1c8e5c
29/04/2026 10:07,29/04/2026 10:14,IP Address,100,416,TRUE,29/04/2026 10:14,R_2eyihw9LzuuAVXR,anonymous,EN,1,5788c16f275be600013590a8,He was bilingual a pot of water and a tea leaf fell into the pot. Tea was born!,As a vegetable,"Matcha was made by steaming and drying the leaves, then grinding them down into powder. The powder was then pressed into cakes.",shifted the standard from tea pressed into cakes to loose leaf tea,"Tea, silk, and porcelain.","gold, opium","After the British victory in the Opium Wars, China had to cede Hong Kong as part of their surrender.",To grow tea themselves and control the market,The race to be the first traders to import tea into the west.,second,By travelling Buddhist monks.,Dutch traders brought tea to Europe,She already had a taste for tea that she acquired in the Portuguese court. She brought her love of tea to England after her marriage and made it a fashionable and popular drink.,10 times more than,6,complete,,,5788c16f275be600013590a8
29/04/2026 10:01,29/04/2026 10:14,IP Address,100,803,TRUE,29/04/2026 10:14,R_8uO1Apa1mbfI87t,anonymous,EN,1,58bfee7de5869400018f5e9e,He poisoned himself but chewed on a tea leave and was healed,As a seasoning,It was made by infusing tea leaves,cut down on the export of porcelain and silk to make tea the main export good,"tea, opium, cotton","silver, opium",Because opium had to be banned,To grow tea themselves and control the market,Importation of tea led to the creation of the clipper ship,first,It was brought ny monks,Dutch traders brought tea to Europe,She introduced tea in England,10 times more than,4,complete,,,58bfee7de5869400018f5e9e
29/04/2026 10:05,29/04/2026 10:14,IP Address,100,561,TRUE,29/04/2026 10:14,R_2mPpf4POBouL9QJ,anonymous,EN,1,59400f1c6b84600001e76c13,he tried several leafs,As a vegetable,grind tea leaves and pour water inside,cut down on the export of porcelain and silk to make tea the main export good,silk and tea,"silver, opium",because of the war,To grow tea themselves and control the market,the demand,second,through monks,English traders brought tea to Europe,making tea popular,double,4,complete,,,59400f1c6b84600001e76c13
29/04/2026 10:08,29/04/2026 10:14,IP Address,100,372,TRUE,29/04/2026 10:14,R_2shRGrVAciQoORn,anonymous,EN,1,616ab1b6df359dcb87a8b0e5,Ate tea leaf that cured him from other poisonous leaves,As a vegetable,Adding hot water to tea leaves.,shifted the standard from tea pressed into cakes to loose leaf tea,"tea, porcelain and silk","silver, opium",During war,To involve India in the war between Britain and China,To be able to get to China from UK to get the valuable tea first ahead of any other country.,second,Tea plant was taken from China to Japan,English traders brought tea to Europe,Making tea popular,10 times more than,5,complete,,,616ab1b6df359dcb87a8b0e5
29/04/2026 10:08,29/04/2026 10:15,IP Address,100,388,TRUE,29/04/2026 10:15,R_2ko06Y9PO2xu1vH,anonymous,EN,1,627a76b96bea55210aecbba9,Not sure,As a vegetable,It was compressed into cakes and ground into a powder.,cut down on the export of porcelain and silk to make tea the main export good,"Tea, silk and ceramics.","silver, opium",Because of the opium wars.,To grow tea themselves and control the market,To sail to Japan to bring back tea and information about tea processes.,second,It was formed into cakes and ground into Matcha.,English traders brought tea to North America,Bringing tea drinking practices to England and making tea popular.,10 times more than,5,complete,,,627a76b96bea55210aecbba9
29/04/2026 10:11,29/04/2026 10:15,IP Address,100,247,TRUE,29/04/2026 10:15,R_8PjCwcSuVHgxWLu,anonymous,EN,1,5ea00c9769e0250009a479df,unknown,As a seasoning,from green tea leaves,shifted the standard from tea pressed into cakes to loose leaf tea,"tea, ","gold, opium",at the end of the opium wars,To make tea an everyday commodity,Transporting the tea to Europe,second,brought over from China,English traders brought tea to Europe,introducing tea to Europe,10 times more than,3,complete,,,5ea00c9769e0250009a479df
29/04/2026 10:09,29/04/2026 10:15,IP Address,100,345,TRUE,29/04/2026 10:15,R_8ONJsdqhNpTMEz9,anonymous,EN,1,5ae88efd9d82560001bdc598,He accidently ingested a leaf after poisoning himself while searching for edible plants. He discovered that the tea cured him.,As a vegetable,Matcha was made by drying tea and pressing it into a cake and then crumbling it into liquid.,shifted the standard from tea pressed into cakes to loose leaf tea,Can't remember.,"silver, opium",To allow the tea trade to continue under favourable conditions.,To involve India in the war between Britain and China,Don't know.,second,Tea plants and tea workers were stolen from China by a botanist named Robert Fortune.,English traders brought tea to Europe,I don't know.,double,4,complete,,,5ae88efd9d82560001bdc598
29/04/2026 10:13,29/04/2026 10:16,IP Address,100,153,TRUE,29/04/2026 10:16,R_8g7acshe1Q7QjID,anonymous,EN,1,63d7c110ae88487271c4bfd1,"He was poisoned by berries, and some tea leaves fell into his mouth and it cured him",As a vegetable,"It was ground up, and then mixed together with hot water",shifted the standard from tea pressed into cakes to loose leaf tea,"Porcelain, Tea and Silk","silver, opium",Because it lost the Opium Wars,To grow tea themselves and control the market,To help compete with tea demand from around the globe,second,Through the Chinese people,English traders brought tea to Europe,Making tea popular to drink,double,5,complete,,,63d7c110ae88487271c4bfd1
29/04/2026 10:06,29/04/2026 10:16,IP Address,100,612,TRUE,29/04/2026 10:16,R_2cu5TYC6CQDfWUx,anonymous,EN,1,6978ca0e47e0a4549d470ae7,A tea leaf drifted into his teapot,As a vegetable,The leaves were turned into bricks and then ground into a powder when they were ready to prepare the drink. They then whisked it with hot water to turn it into tea.,shifted the standard from tea pressed into cakes to loose leaf tea,"Tea, porcelain and silk","silver, opium",After the issues with opium and war broke out and Britain has the stronger army and so China had no choice but to agree,To grow tea themselves and control the market,"China wanted be able to transport the tea over to Europe as quickly as possible and it was a race to deliver the first batch of fresh tea, so they needed to get it there as soon as possible to maximise on their time and money making. ",second,I cannot remember the answer to this one ,English traders brought tea to Europe,Queen Catherine was credited for raising the popularity of tea in Europe in the 1600s.,double,5,complete,,,6978ca0e47e0a4549d470ae7
29/04/2026 10:08,29/04/2026 10:16,IP Address,100,500,TRUE,29/04/2026 10:16,R_2asNcf2kkrEoXdo,anonymous,EN,1,631755de69157e27c295a340,wild tea leaves landed in his cup of water ,As a seasoning,made from tea plants i think they grow for 3 or 4 months maybe a little less but not sure of specific details of what tea plants etc,shifted the standard from tea pressed into cakes to loose leaf tea,i only know machinery is one of them ,"silver, opium",i have no idea,To make tea an everyday commodity,it was due to a demand in tea ,second,it was sailed over to them from another country,English traders brought tea to Europe,im not sure ,double,3,complete,,,631755de69157e27c295a340
29/04/2026 10:05,29/04/2026 10:16,IP Address,100,705,TRUE,29/04/2026 10:16,R_8B3CPXWOmZtSmTy,anonymous,EN,1,69c168fca6d68ca06a4219ca,He got intoxicated after trying many herbs. Then a  leaf of tea tree got into his mouth and made him feel better,As a drink,crushed tea leaves made a powder called matcha,shifted the standard from tea pressed into cakes to loose leaf tea,"tea, silk and ceramics ","silver, opium",because of the opium,To grow tea themselves and control the market,for trade and  faster transfer of goods ,second,it was smuggled in Japan ,Dutch traders brought tea to Europe,Queen Catherine introduced the tea in the palace ,10 times more than,6,complete,,,69c168fca6d68ca06a4219ca
