StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q_RecaptchaScore,part3_id,MCQ01,MCQ02,MCQ03,MCQ04,MCQ05,MCQ06,MCQ07,MCQ08,MCQ09,MCQ10,MCQ11,MCQ12,MCQ13,MCQ14,SC0,PROLIFIC_PID
04/12/2025 03:20,04/12/2025 03:23,0,100,177,1,04/12/2025 03:23,R_2A09XpyG9QY6czo,anonymous,EN,1,5e25bb2adb62ba80c1c8571a,1,1,3,1,1,1,2,1,1,3,2,1,1,1,10,5e25bb2adb62ba80c1c8571a
04/12/2025 03:22,04/12/2025 03:26,0,100,224,1,04/12/2025 03:26,R_8nvsjTr4WIE6a0p,anonymous,EN,1,5d3821f0ddea5a0001757f93,1,2,1,1,2,4,1,1,3,1,3,4,3,1,7,5d3821f0ddea5a0001757f93
04/12/2025 03:22,04/12/2025 03:26,0,100,287,1,04/12/2025 03:26,R_8kXINj6cml9Qc6y,anonymous,EN,1,573dbfc9cc30e7000dc57410,1,1,1,1,1,3,2,1,1,1,1,3,1,1,11,573dbfc9cc30e7000dc57410
04/12/2025 03:29,04/12/2025 03:32,0,100,138,1,04/12/2025 03:32,R_2hoOcB12GArrhmx,anonymous,EN,1,5fd76b7d246a3705a25c9a94,1,1,1,1,2,1,1,1,1,1,1,1,1,1,13,5fd76b7d246a3705a25c9a94
04/12/2025 03:31,04/12/2025 03:34,0,100,162,1,04/12/2025 03:34,R_8gN2WjzuUBaAbkd,anonymous,EN,1,5dab79a5525a7600139cd31e,1,1,1,1,4,4,1,2,2,3,4,1,2,2,6,5dab79a5525a7600139cd31e
04/12/2025 03:30,04/12/2025 03:34,0,100,255,1,04/12/2025 03:34,R_2gO5yzW4e9z4pN6,anonymous,EN,1,6773f9ecbf8a434754bdbdab,1,1,2,3,1,3,1,1,1,1,1,1,1,1,11,6773f9ecbf8a434754bdbdab
04/12/2025 03:32,04/12/2025 03:34,0,100,154,1,04/12/2025 03:34,R_2eVcAuCBp5SHdXP,anonymous,EN,0.899999976,5db1b1b6cd3329000ba29566,1,1,1,1,1,1,1,1,1,1,1,1,1,2,13,5db1b1b6cd3329000ba29566
04/12/2025 03:34,04/12/2025 03:36,0,100,132,1,04/12/2025 03:36,R_8ENkt5qeDTvKPra,anonymous,EN,1,577a0a7aadbc7500015d2479,1,1,1,1,1,1,2,3,1,1,2,1,1,1,11,577a0a7aadbc7500015d2479
04/12/2025 03:36,04/12/2025 03:40,0,100,248,1,04/12/2025 03:40,R_8Y4m6JbcEpssTcz,anonymous,EN,1,5eb29fdddac67500082c1089,1,1,1,1,1,3,1,1,1,3,1,1,1,2,11,5eb29fdddac67500082c1089
04/12/2025 03:37,04/12/2025 03:41,0,100,236,1,04/12/2025 03:41,R_2ztLJkOJKIVtEmU,anonymous,EN,1,66742c4307bb2004831faaef,3,1,1,1,1,3,2,3,1,1,3,1,1,1,9,66742c4307bb2004831faaef
04/12/2025 03:33,04/12/2025 03:41,0,100,515,1,04/12/2025 03:41,R_8hY6qzcJ4dJoUjD,anonymous,EN,1,5c72af4a04d7bc00013899b3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,13,5c72af4a04d7bc00013899b3
04/12/2025 03:36,04/12/2025 03:45,0,100,525,1,04/12/2025 03:45,R_2FnZoHPL7R1pBll,anonymous,EN,1,5eeb58ec4c86582a76ff55ec,1,1,2,1,2,1,2,3,2,3,1,2,1,1,7,5eeb58ec4c86582a76ff55ec
04/12/2025 03:44,04/12/2025 03:47,0,100,197,1,04/12/2025 03:47,R_8sdvU7TxAY4LSHW,anonymous,EN,1,5ea7e9f15bc7011d31958608,1,1,3,1,2,3,2,3,1,1,2,3,2,1,6,5ea7e9f15bc7011d31958608
04/12/2025 03:45,04/12/2025 03:47,0,100,141,1,04/12/2025 03:47,R_85ymzEoXxdGq5ny,anonymous,EN,1,56bbad070b36c4000b4d4ef9,2,1,1,1,2,1,2,4,1,1,2,1,1,1,9,56bbad070b36c4000b4d4ef9
04/12/2025 03:45,04/12/2025 03:48,0,100,175,1,04/12/2025 03:48,R_24bJbAbOWuBivbG,anonymous,EN,1,671d39090c9e2ad9ec75a03c,1,2,1,1,2,4,2,2,2,1,1,3,1,1,7,671d39090c9e2ad9ec75a03c
04/12/2025 03:53,04/12/2025 03:56,0,100,166,1,04/12/2025 03:56,R_2nIYsOIFAPYa8QB,anonymous,EN,1,601ecf037d641438c0840330,1,1,1,1,1,1,2,1,1,1,2,1,1,1,12,601ecf037d641438c0840330
04/12/2025 03:56,04/12/2025 03:59,0,100,163,1,04/12/2025 03:59,R_8M3TPTGFl3c8VBv,anonymous,EN,1,681b781064a5701a5ceee3bc,1,1,1,1,1,1,1,1,1,3,1,1,1,1,13,681b781064a5701a5ceee3bc
04/12/2025 03:54,04/12/2025 04:01,0,100,419,1,04/12/2025 04:01,R_2He71o37aO0ooKd,anonymous,EN,1,5e1b6da99debf5393dfba2dc,1,1,1,1,1,1,2,1,1,1,1,3,1,1,12,5e1b6da99debf5393dfba2dc
04/12/2025 03:58,04/12/2025 04:02,0,100,197,1,04/12/2025 04:02,R_2pj8rIl8cBKcIx3,anonymous,EN,0.800000012,5f25681567da711e51c043ab,1,1,3,1,1,1,2,1,1,3,2,3,1,2,8,5f25681567da711e51c043ab
04/12/2025 03:56,04/12/2025 04:02,0,100,309,1,04/12/2025 04:02,R_2j7JW3ZpqZwxdFB,anonymous,EN,0.5,6767202a0793489cda4738d2,1,1,3,4,1,4,2,3,1,1,1,1,1,1,9,6767202a0793489cda4738d2
04/12/2025 04:04,04/12/2025 04:07,0,100,215,1,04/12/2025 04:07,R_82V1f2pWQqY0n98,anonymous,EN,1,5c158ec0c6b01c0001bcfa72,2,1,1,2,1,1,2,3,2,3,1,4,1,1,7,5c158ec0c6b01c0001bcfa72
04/12/2025 04:07,04/12/2025 04:10,0,100,178,1,04/12/2025 04:10,R_2aEpE3t6GRWjW4x,anonymous,EN,1,6329c13285c93cafdf51ed77,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,6329c13285c93cafdf51ed77
04/12/2025 04:15,04/12/2025 04:19,0,100,256,1,04/12/2025 04:19,R_2C42aSKvesJILqP,anonymous,EN,1,5d59cb467ca41f0001e97e1f,1,1,3,1,1,1,2,1,1,4,1,3,3,1,9,5d59cb467ca41f0001e97e1f
04/12/2025 04:24,04/12/2025 04:29,0,100,289,1,04/12/2025 04:29,R_8mIOu9NPQ0YdF8P,anonymous,EN,1,5f3013e31c8a690aacb02c31,3,1,1,1,1,1,1,1,3,1,2,1,1,1,11,5f3013e31c8a690aacb02c31
04/12/2025 04:29,04/12/2025 04:37,0,100,484,1,04/12/2025 04:37,R_8qX5m3Ka1jXgnBL,anonymous,EN,1,632361bf965e0257e6052357,1,1,1,1,1,1,1,1,1,1,1,1,1,2,13,632361bf965e0257e6052357
04/12/2025 04:35,04/12/2025 04:39,0,100,226,1,04/12/2025 04:39,R_25EDnGR4gNihbl6,anonymous,EN,1,5c8b065abd96ce0001947d1b,1,1,2,1,1,1,1,2,1,1,1,1,1,1,12,5c8b065abd96ce0001947d1b
04/12/2025 04:31,04/12/2025 04:40,0,100,577,1,04/12/2025 04:40,R_2mI4cv7CcJUMLri,anonymous,EN,1,55d5b77ddb6a810006fa05d5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,55d5b77ddb6a810006fa05d5
04/12/2025 04:40,04/12/2025 04:45,0,100,285,1,04/12/2025 04:45,R_8IcXy2iuDy8Boul,anonymous,EN,1,5bc07659b8d38c0001de0516,1,1,3,2,2,3,2,4,4,1,1,1,1,1,7,5bc07659b8d38c0001de0516
04/12/2025 04:43,04/12/2025 04:49,0,100,308,1,04/12/2025 04:49,R_2PhQLZrN4ZNLa4f,anonymous,EN,1,672cc816106e96c0344581bb,1,1,1,1,2,1,2,1,1,1,1,3,1,1,11,672cc816106e96c0344581bb
04/12/2025 04:50,04/12/2025 04:58,0,100,493,1,04/12/2025 04:58,R_2BeF6af6K9TkIzT,anonymous,EN,1,61f2ad75a09e72f23cbaf8a0,1,1,1,1,1,1,1,3,2,3,1,3,1,1,10,61f2ad75a09e72f23cbaf8a0
04/12/2025 04:56,04/12/2025 05:04,0,100,480,1,04/12/2025 05:04,R_8fVpDuybIL98B56,anonymous,EN,1,571bdaa76b0894001362f780,3,3,1,1,1,4,1,1,1,1,1,3,1,1,10,571bdaa76b0894001362f780
04/12/2025 05:09,04/12/2025 05:11,0,100,124,1,04/12/2025 05:11,R_2PXSNSwcrH6KFHP,anonymous,EN,1,6658b67d487ff144dc527a40,3,1,2,1,1,3,2,4,2,3,2,3,1,1,5,6658b67d487ff144dc527a40
04/12/2025 05:01,04/12/2025 05:12,0,100,626,1,04/12/2025 05:12,R_2PRKRlcspSTnHnr,anonymous,EN,1,6278f2c1db1a5b8b12b94a21,1,1,1,1,1,1,1,1,1,2,1,2,1,1,12,6278f2c1db1a5b8b12b94a21
04/12/2025 05:15,04/12/2025 05:18,0,100,146,1,04/12/2025 05:18,R_2fzNXcT4EslQSiJ,anonymous,EN,0.800000012,5ce65c39baebc8001939a3ab,2,3,1,2,4,1,2,1,1,1,3,3,1,2,6,5ce65c39baebc8001939a3ab
04/12/2025 05:18,04/12/2025 05:21,0,100,163,1,04/12/2025 05:21,R_8ztQWgQVdLq0ZO1,anonymous,EN,0.800000012,59d3ef2c078dbe000195117f,1,1,3,1,1,1,1,1,1,2,1,4,1,2,10,59d3ef2c078dbe000195117f
04/12/2025 05:17,04/12/2025 05:22,0,100,323,1,04/12/2025 05:22,R_2Ii8IcVczLEhhPr,anonymous,EN,1,58bef6fd31de840001e84ba0,3,1,1,1,1,1,1,3,2,1,1,3,1,1,10,58bef6fd31de840001e84ba0
04/12/2025 05:25,04/12/2025 05:29,0,100,209,1,04/12/2025 05:29,R_2eQaWn3qWlcNUpJ,anonymous,EN,0.5,6530316e660f5b8d9c11c00e,1,1,3,1,1,1,1,1,1,1,1,1,1,1,13,6530316e660f5b8d9c11c00e
04/12/2025 05:32,04/12/2025 05:37,0,100,289,1,04/12/2025 05:37,R_8f73dbAllBzZFA4,anonymous,EN,1,5cadbee8470c560001de5739,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,5cadbee8470c560001de5739
04/12/2025 05:38,04/12/2025 05:41,0,100,131,1,04/12/2025 05:41,R_8FkruCfIrrXBAOb,anonymous,EN,1,5ca73fcf7067e70001f7a41f,4,1,3,2,2,1,1,4,4,1,3,3,3,1,5,5ca73fcf7067e70001f7a41f
04/12/2025 05:38,04/12/2025 05:43,0,100,257,1,04/12/2025 05:43,R_8OwoV0IK7PsURb3,anonymous,EN,1,650864268a31fd9d2b8f84ee,1,1,1,2,1,3,1,2,1,1,1,1,1,1,11,650864268a31fd9d2b8f84ee
04/12/2025 05:43,04/12/2025 05:46,0,100,165,1,04/12/2025 05:46,R_2CxqnAzOPnETmih,anonymous,EN,1,58d9300e33fef3000118a808,1,1,1,1,1,1,1,1,1,3,1,3,1,1,12,58d9300e33fef3000118a808
04/12/2025 05:50,04/12/2025 05:53,0,100,168,1,04/12/2025 05:53,R_2E5lygKvBdYGItn,anonymous,EN,1,5d7e3844fc5b4b0001bb0e1b,3,1,1,1,2,4,1,1,1,3,1,3,1,1,9,5d7e3844fc5b4b0001bb0e1b
04/12/2025 06:05,04/12/2025 06:08,0,100,142,1,04/12/2025 06:08,R_8JFNEYL4JSTIQZu,anonymous,EN,1,5e203085ac30fa331b586690,1,1,2,1,1,1,2,3,1,1,1,1,3,1,10,5e203085ac30fa331b586690
04/12/2025 06:16,04/12/2025 06:19,0,100,169,1,04/12/2025 06:19,R_8R2WojQUB3F4mc1,anonymous,EN,1,5737270f14f69e000d7bc08a,1,1,1,1,1,1,2,1,1,1,1,1,4,1,12,5737270f14f69e000d7bc08a
04/12/2025 06:19,04/12/2025 06:24,0,100,280,1,04/12/2025 06:24,R_8dYsCwHwG27artn,anonymous,EN,1,5ebc0abd2cc5f1054c82a0d7,1,1,3,4,1,2,1,3,1,1,1,3,1,1,9,5ebc0abd2cc5f1054c82a0d7
04/12/2025 06:41,04/12/2025 06:45,0,100,266,1,04/12/2025 06:45,R_2v5I6vPMDjy9XDW,anonymous,EN,1,62b055a21e169809861b173d,3,1,2,1,1,4,1,1,3,3,1,1,3,2,7,62b055a21e169809861b173d
04/12/2025 06:38,04/12/2025 06:52,0,100,850,1,04/12/2025 06:52,R_2a0Th9Ww8l1OmOZ,anonymous,EN,1,6659a3110ccaa9dc948dc808,3,1,3,1,1,1,2,1,4,1,1,1,1,1,10,6659a3110ccaa9dc948dc808
04/12/2025 06:36,04/12/2025 06:57,0,100,1289,1,04/12/2025 06:57,R_2ePe1jHmnpaK0oE,anonymous,EN,1,673261aea87e76010a5c969a,4,1,2,1,1,1,1,1,1,1,1,1,1,1,12,673261aea87e76010a5c969a
04/12/2025 07:01,04/12/2025 07:05,0,100,222,1,04/12/2025 07:05,R_8AMz6ZK391ygM6q,anonymous,EN,1,6157040a78451d0e36577a2a,1,1,3,1,1,3,4,3,1,1,2,3,1,1,8,6157040a78451d0e36577a2a
04/12/2025 07:42,04/12/2025 07:46,0,100,227,1,04/12/2025 07:46,R_2YtxW28YZ0gBos4,anonymous,EN,1,597a72293a82ba000141d7b0,1,1,1,1,1,1,2,3,2,1,1,1,1,1,11,597a72293a82ba000141d7b0
04/12/2025 07:46,04/12/2025 07:51,0,100,284,1,04/12/2025 07:51,R_8PZXfJCugnuVDpf,anonymous,EN,1,60ddc62b071a009e0b0c2922,2,1,3,1,2,3,1,4,3,1,1,1,3,1,7,60ddc62b071a009e0b0c2922
04/12/2025 08:16,04/12/2025 08:19,0,100,159,1,04/12/2025 08:19,R_8K910wu8dbWnlfz,anonymous,EN,1,594a8e2eeaa18e000163f6cd,1,1,3,1,2,1,4,4,4,1,3,1,1,1,8,594a8e2eeaa18e000163f6cd
04/12/2025 08:26,04/12/2025 08:33,0,100,387,1,04/12/2025 08:33,R_81sStaWXZ6gOp3x,anonymous,EN,1,66084cde8c8b94db6ce51ac9,3,1,1,4,1,1,2,3,2,2,3,1,4,1,6,66084cde8c8b94db6ce51ac9
04/12/2025 08:27,04/12/2025 08:33,0,100,381,1,04/12/2025 08:33,R_8ocfykK16DQ9HZB,anonymous,EN,0.899999976,688a3a2e3d58984958a6e2f7,3,1,1,4,2,1,2,4,2,2,2,1,1,1,6,688a3a2e3d58984958a6e2f7
04/12/2025 09:10,04/12/2025 09:13,0,100,169,1,04/12/2025 09:13,R_2CE3OE2a1dffiXe,anonymous,EN,1,5f7750471fcf840f542f6081,1,1,3,1,1,1,2,3,1,3,3,3,1,2,7,5f7750471fcf840f542f6081
04/12/2025 09:11,04/12/2025 09:15,0,100,238,1,04/12/2025 09:15,R_83xwIpd5ZuKB590,anonymous,EN,1,582f8bbd4cadc80001b0fbd3,1,1,3,2,2,3,2,3,2,3,2,4,2,2,2,582f8bbd4cadc80001b0fbd3
04/12/2025 09:21,04/12/2025 09:24,0,100,179,1,04/12/2025 09:24,R_2g8he1ySmZLxOjX,anonymous,EN,1,62a338fe5f31e62c27dc5e66,1,4,3,1,1,1,1,1,1,1,1,1,1,1,12,62a338fe5f31e62c27dc5e66
04/12/2025 09:27,04/12/2025 09:30,0,100,201,1,04/12/2025 09:30,R_22yF9Y8X8WVAEmR,anonymous,EN,1,6297560d968633ad5b83b745,1,1,1,1,1,3,2,1,1,1,1,3,4,2,9,6297560d968633ad5b83b745
04/12/2025 09:41,04/12/2025 09:47,0,100,325,1,04/12/2025 09:47,R_8GChZvNv4yf5ScO,anonymous,EN,1,603836f34e3f321dbba51e02,1,1,1,1,2,1,2,3,2,3,1,1,1,1,9,603836f34e3f321dbba51e02
04/12/2025 09:48,04/12/2025 09:51,0,100,179,1,04/12/2025 09:51,R_20jUAk7iuYGIM0a,anonymous,EN,1,644805884189b40893adfa53,1,2,1,1,1,3,2,1,4,1,1,3,1,1,9,644805884189b40893adfa53
04/12/2025 09:59,04/12/2025 10:02,0,100,170,1,04/12/2025 10:02,R_28OjtBpaoM1RhOp,anonymous,EN,1,5e7dfc715acd1402882e93eb,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,5e7dfc715acd1402882e93eb
04/12/2025 10:24,04/12/2025 10:28,0,100,243,1,04/12/2025 10:28,R_8mrA1SybQemaLaa,anonymous,EN,1,67334911eb1de6dd02fc126a,3,1,2,2,1,2,2,3,4,1,3,4,1,2,4,67334911eb1de6dd02fc126a
04/12/2025 10:33,04/12/2025 10:37,0,100,221,1,04/12/2025 10:37,R_26Z7y56m3IiY3VT,anonymous,EN,1,62b74ec256808d84b3e691d6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,62b74ec256808d84b3e691d6
