StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q_RecaptchaScore,Consent form,Prolific ID,Age,Gender ,Instructions check,Timing_First Click,Timing_Last Click,Timing_Page Submit,Timing_Click Count,Prior knowledge_1,PROLIFIC_PID
19/11/2025 08:32,19/11/2025 08:48,IP Address,100,944,TRUE,19/11/2025 08:48,R_2E10KxDgh0ovRwR,anonymous,EN,1,"I have read the information sheet and understand I can email the researchers with any questions.,I understand that my personal information (e.g., my age, gender, and information about my language background) will be used for the purposes of this study, which have been explained to me.,I consent to the processing of my personal information for the purposes of this study, and I understand that any such information will be treated as strictly confidential and handled in accordance with the provisions of the Data Protection Act 2018.,I understand that the information I provide may be published as a report and I will be sent a copy if I wish. Confidentiality and anonymity will be maintained, and it will not be possible to identify me in any publications.,I understand that my anonymised research data may be shared in accordance with open science guidelines (no one will be able to identify me if these data are shared).,I understand that I am free to withdraw from the study without penalty if I so wish.,I am over the age of 18.,I consent to take part in this study.",5ee5defbfe74a3000d106f51,33,Male,Yes,0,0,899.183,0,1,
19/11/2025 08:32,19/11/2025 08:48,IP Address,100,964,TRUE,19/11/2025 08:48,R_2QM0lSnU5ehBLOB,anonymous,EN,1,"I have read the information sheet and understand I can email the researchers with any questions.,I understand that my personal information (e.g., my age, gender, and information about my language background) will be used for the purposes of this study, which have been explained to me.,I consent to the processing of my personal information for the purposes of this study, and I understand that any such information will be treated as strictly confidential and handled in accordance with the provisions of the Data Protection Act 2018.,I understand that the information I provide may be published as a report and I will be sent a copy if I wish. Confidentiality and anonymity will be maintained, and it will not be possible to identify me in any publications.,I understand that my anonymised research data may be shared in accordance with open science guidelines (no one will be able to identify me if these data are shared).,I understand that I am free to withdraw from the study without penalty if I so wish.,I am over the age of 18.,I consent to take part in this study.",59ff1a23f2e3460001eda6d5,33,Female,Yes,28.419,29.935,919.662,2,2,
19/11/2025 08:31,19/11/2025 08:48,IP Address,100,1004,TRUE,19/11/2025 08:48,R_2RqG1q2jOtvTJDH,anonymous,EN,0.899999976,"I have read the information sheet and understand I can email the researchers with any questions.,I understand that my personal information (e.g., my age, gender, and information about my language background) will be used for the purposes of this study, which have been explained to me.,I consent to the processing of my personal information for the purposes of this study, and I understand that any such information will be treated as strictly confidential and handled in accordance with the provisions of the Data Protection Act 2018.,I understand that the information I provide may be published as a report and I will be sent a copy if I wish. Confidentiality and anonymity will be maintained, and it will not be possible to identify me in any publications.,I understand that my anonymised research data may be shared in accordance with open science guidelines (no one will be able to identify me if these data are shared).,I understand that I am free to withdraw from the study without penalty if I so wish.,I am over the age of 18.,I consent to take part in this study.",668173a56ae4ada528986b1d,54,Female,Yes,99.796,902.934,903.558,12,1,
19/11/2025 08:32,19/11/2025 08:48,IP Address,100,959,TRUE,19/11/2025 08:48,R_8gw4wLviXV7udI6,anonymous,EN,1,"I have read the information sheet and understand I can email the researchers with any questions.,I understand that my personal information (e.g., my age, gender, and information about my language background) will be used for the purposes of this study, which have been explained to me.,I consent to the processing of my personal information for the purposes of this study, and I understand that any such information will be treated as strictly confidential and handled in accordance with the provisions of the Data Protection Act 2018.,I understand that the information I provide may be published as a report and I will be sent a copy if I wish. Confidentiality and anonymity will be maintained, and it will not be possible to identify me in any publications.,I understand that my anonymised research data may be shared in accordance with open science guidelines (no one will be able to identify me if these data are shared).,I understand that I am free to withdraw from the study without penalty if I so wish.,I am over the age of 18.,I consent to take part in this study.",596155a998cf77000106f8d8,47,Male,Yes,16.279,16.279,909.569,1,2,
19/11/2025 08:30,19/11/2025 08:48,IP Address,100,1061,TRUE,19/11/2025 08:48,R_23DuFFRAzLLsZwR,anonymous,EN,1,"I have read the information sheet and understand I can email the researchers with any questions.,I understand that my personal information (e.g., my age, gender, and information about my language background) will be used for the purposes of this study, which have been explained to me.,I consent to the processing of my personal information for the purposes of this study, and I understand that any such information will be treated as strictly confidential and handled in accordance with the provisions of the Data Protection Act 2018.,I understand that the information I provide may be published as a report and I will be sent a copy if I wish. Confidentiality and anonymity will be maintained, and it will not be possible to identify me in any publications.,I understand that my anonymised research data may be shared in accordance with open science guidelines (no one will be able to identify me if these data are shared).,I understand that I am free to withdraw from the study without penalty if I so wish.,I am over the age of 18.,I consent to take part in this study.",682b3f63d0e2c4eff64fe664,71,Male,Yes,0,0,902.794,0,1,
19/11/2025 08:31,19/11/2025 08:48,IP Address,100,1041,TRUE,19/11/2025 08:48,R_2lsHLcMSjPjaiKs,anonymous,EN,1,"I have read the information sheet and understand I can email the researchers with any questions.,I understand that my personal information (e.g., my age, gender, and information about my language background) will be used for the purposes of this study, which have been explained to me.,I consent to the processing of my personal information for the purposes of this study, and I understand that any such information will be treated as strictly confidential and handled in accordance with the provisions of the Data Protection Act 2018.,I understand that the information I provide may be published as a report and I will be sent a copy if I wish. Confidentiality and anonymity will be maintained, and it will not be possible to identify me in any publications.,I understand that my anonymised research data may be shared in accordance with open science guidelines (no one will be able to identify me if these data are shared).,I understand that I am free to withdraw from the study without penalty if I so wish.,I am over the age of 18.,I consent to take part in this study.",6695991a6db58bdcd2d1e388,74,Male,Yes,0,0,906.329,0,3,
19/11/2025 08:32,19/11/2025 08:48,IP Address,100,962,TRUE,19/11/2025 08:48,R_2co2zxTNjYE2rT3,anonymous,EN,1,"I have read the information sheet and understand I can email the researchers with any questions.,I understand that my personal information (e.g., my age, gender, and information about my language background) will be used for the purposes of this study, which have been explained to me.,I consent to the processing of my personal information for the purposes of this study, and I understand that any such information will be treated as strictly confidential and handled in accordance with the provisions of the Data Protection Act 2018.,I understand that the information I provide may be published as a report and I will be sent a copy if I wish. Confidentiality and anonymity will be maintained, and it will not be possible to identify me in any publications.,I understand that my anonymised research data may be shared in accordance with open science guidelines (no one will be able to identify me if these data are shared).,I understand that I am free to withdraw from the study without penalty if I so wish.,I am over the age of 18.,I consent to take part in this study.",57c57ea095a3ea00016e5a14,38,Female,Yes,20.744,22.517,902.701,2,1,
19/11/2025 08:31,19/11/2025 08:48,IP Address,100,1017,TRUE,19/11/2025 08:48,R_8rDK1IOg9SA1dAs,anonymous,EN,1,"I have read the information sheet and understand I can email the researchers with any questions.,I understand that my personal information (e.g., my age, gender, and information about my language background) will be used for the purposes of this study, which have been explained to me.,I consent to the processing of my personal information for the purposes of this study, and I understand that any such information will be treated as strictly confidential and handled in accordance with the provisions of the Data Protection Act 2018.,I understand that the information I provide may be published as a report and I will be sent a copy if I wish. Confidentiality and anonymity will be maintained, and it will not be possible to identify me in any publications.,I understand that my anonymised research data may be shared in accordance with open science guidelines (no one will be able to identify me if these data are shared).,I understand that I am free to withdraw from the study without penalty if I so wish.,I am over the age of 18.,I consent to take part in this study.",641384b3dffcf39ec42d3c23,50,Male,Yes,0,0,920.7,0,2,
19/11/2025 08:32,19/11/2025 08:49,IP Address,100,1002,TRUE,19/11/2025 08:49,R_2CHILUFIrWZ5fRH,anonymous,EN,1,"I have read the information sheet and understand I can email the researchers with any questions.,I understand that my personal information (e.g., my age, gender, and information about my language background) will be used for the purposes of this study, which have been explained to me.,I consent to the processing of my personal information for the purposes of this study, and I understand that any such information will be treated as strictly confidential and handled in accordance with the provisions of the Data Protection Act 2018.,I understand that the information I provide may be published as a report and I will be sent a copy if I wish. Confidentiality and anonymity will be maintained, and it will not be possible to identify me in any publications.,I understand that my anonymised research data may be shared in accordance with open science guidelines (no one will be able to identify me if these data are shared).,I understand that I am free to withdraw from the study without penalty if I so wish.,I am over the age of 18.,I consent to take part in this study.",665af670c32544bf63236164,44,Male,Yes,0,0,914.623,0,3,
19/11/2025 08:31,19/11/2025 08:49,IP Address,100,1059,TRUE,19/11/2025 08:49,R_2PIo6GGkld4Zqdb,anonymous,EN,1,"I have read the information sheet and understand I can email the researchers with any questions.,I understand that my personal information (e.g., my age, gender, and information about my language background) will be used for the purposes of this study, which have been explained to me.,I consent to the processing of my personal information for the purposes of this study, and I understand that any such information will be treated as strictly confidential and handled in accordance with the provisions of the Data Protection Act 2018.,I understand that the information I provide may be published as a report and I will be sent a copy if I wish. Confidentiality and anonymity will be maintained, and it will not be possible to identify me in any publications.,I understand that my anonymised research data may be shared in accordance with open science guidelines (no one will be able to identify me if these data are shared).,I understand that I am free to withdraw from the study without penalty if I so wish.,I am over the age of 18.,I consent to take part in this study.",6053e01a6a8e8516ba7d47a7,59,Male,Yes,0,0,902.963,0,1,
19/11/2025 08:31,19/11/2025 08:49,IP Address,100,1092,TRUE,19/11/2025 08:49,R_27892A08KIEQcuG,anonymous,EN,1,"I have read the information sheet and understand I can email the researchers with any questions.,I understand that my personal information (e.g., my age, gender, and information about my language background) will be used for the purposes of this study, which have been explained to me.,I consent to the processing of my personal information for the purposes of this study, and I understand that any such information will be treated as strictly confidential and handled in accordance with the provisions of the Data Protection Act 2018.,I understand that the information I provide may be published as a report and I will be sent a copy if I wish. Confidentiality and anonymity will be maintained, and it will not be possible to identify me in any publications.,I understand that my anonymised research data may be shared in accordance with open science guidelines (no one will be able to identify me if these data are shared).,I understand that I am free to withdraw from the study without penalty if I so wish.,I am over the age of 18.,I consent to take part in this study.",5a6725d4c0d836000107f6e7,54,Male,Yes,899.682,899.682,902.415,1,2,
19/11/2025 08:32,19/11/2025 08:49,IP Address,100,1018,TRUE,19/11/2025 08:49,R_2gzJvBVmDajrJTA,anonymous,EN,1,"I have read the information sheet and understand I can email the researchers with any questions.,I understand that my personal information (e.g., my age, gender, and information about my language background) will be used for the purposes of this study, which have been explained to me.,I consent to the processing of my personal information for the purposes of this study, and I understand that any such information will be treated as strictly confidential and handled in accordance with the provisions of the Data Protection Act 2018.,I understand that the information I provide may be published as a report and I will be sent a copy if I wish. Confidentiality and anonymity will be maintained, and it will not be possible to identify me in any publications.,I understand that my anonymised research data may be shared in accordance with open science guidelines (no one will be able to identify me if these data are shared).,I understand that I am free to withdraw from the study without penalty if I so wish.,I am over the age of 18.,I consent to take part in this study.",5eca536f9aa4f658d641a7d9,55,Female,Yes,25.288,30.471,901.756,2,3,
19/11/2025 08:34,19/11/2025 08:49,IP Address,100,929,TRUE,19/11/2025 08:49,R_8iG87Bi7pNtKd1v,anonymous,EN,1,"I have read the information sheet and understand I can email the researchers with any questions.,I understand that my personal information (e.g., my age, gender, and information about my language background) will be used for the purposes of this study, which have been explained to me.,I consent to the processing of my personal information for the purposes of this study, and I understand that any such information will be treated as strictly confidential and handled in accordance with the provisions of the Data Protection Act 2018.,I understand that the information I provide may be published as a report and I will be sent a copy if I wish. Confidentiality and anonymity will be maintained, and it will not be possible to identify me in any publications.,I understand that my anonymised research data may be shared in accordance with open science guidelines (no one will be able to identify me if these data are shared).,I understand that I am free to withdraw from the study without penalty if I so wish.,I am over the age of 18.,I consent to take part in this study.",5970ccd08df9300001dab39d,31,Female,Yes,3.092,399.788,900.136,2,2,
19/11/2025 08:32,19/11/2025 08:49,IP Address,100,1052,TRUE,19/11/2025 08:49,R_2QCcfl1d9fHYPtf,anonymous,EN,1,"I have read the information sheet and understand I can email the researchers with any questions.,I understand that my personal information (e.g., my age, gender, and information about my language background) will be used for the purposes of this study, which have been explained to me.,I consent to the processing of my personal information for the purposes of this study, and I understand that any such information will be treated as strictly confidential and handled in accordance with the provisions of the Data Protection Act 2018.,I understand that the information I provide may be published as a report and I will be sent a copy if I wish. Confidentiality and anonymity will be maintained, and it will not be possible to identify me in any publications.,I understand that my anonymised research data may be shared in accordance with open science guidelines (no one will be able to identify me if these data are shared).,I understand that I am free to withdraw from the study without penalty if I so wish.,I am over the age of 18.,I consent to take part in this study.",60ed501279c68ea1a313d0aa,61,Female,Yes,3.259,904.552,906.166,2,1,
19/11/2025 08:32,19/11/2025 08:50,IP Address,100,1036,TRUE,19/11/2025 08:50,R_8q7Och8Aku4Tzw7,anonymous,EN,1,"I have read the information sheet and understand I can email the researchers with any questions.,I understand that my personal information (e.g., my age, gender, and information about my language background) will be used for the purposes of this study, which have been explained to me.,I consent to the processing of my personal information for the purposes of this study, and I understand that any such information will be treated as strictly confidential and handled in accordance with the provisions of the Data Protection Act 2018.,I understand that the information I provide may be published as a report and I will be sent a copy if I wish. Confidentiality and anonymity will be maintained, and it will not be possible to identify me in any publications.,I understand that my anonymised research data may be shared in accordance with open science guidelines (no one will be able to identify me if these data are shared).,I understand that I am free to withdraw from the study without penalty if I so wish.,I am over the age of 18.,I consent to take part in this study.",678d2c14b4c8f25bad8614a0,44,Male,Yes,0,0,901.448,0,2,
19/11/2025 08:33,19/11/2025 08:50,IP Address,100,1011,TRUE,19/11/2025 08:50,R_83vDvwitK2mieQd,anonymous,EN,0.899999976,"I have read the information sheet and understand I can email the researchers with any questions.,I understand that my personal information (e.g., my age, gender, and information about my language background) will be used for the purposes of this study, which have been explained to me.,I consent to the processing of my personal information for the purposes of this study, and I understand that any such information will be treated as strictly confidential and handled in accordance with the provisions of the Data Protection Act 2018.,I understand that the information I provide may be published as a report and I will be sent a copy if I wish. Confidentiality and anonymity will be maintained, and it will not be possible to identify me in any publications.,I understand that my anonymised research data may be shared in accordance with open science guidelines (no one will be able to identify me if these data are shared).,I understand that I am free to withdraw from the study without penalty if I so wish.,I am over the age of 18.,I consent to take part in this study.",653bc92a11da9d70e7ad81c3,41,Female,Yes,101.981,902.179,903.606,9,2,
19/11/2025 08:34,19/11/2025 08:50,IP Address,100,972,TRUE,19/11/2025 08:50,R_8TWZoKXHd3XQLvX,anonymous,EN,1,"I have read the information sheet and understand I can email the researchers with any questions.,I understand that my personal information (e.g., my age, gender, and information about my language background) will be used for the purposes of this study, which have been explained to me.,I consent to the processing of my personal information for the purposes of this study, and I understand that any such information will be treated as strictly confidential and handled in accordance with the provisions of the Data Protection Act 2018.,I understand that the information I provide may be published as a report and I will be sent a copy if I wish. Confidentiality and anonymity will be maintained, and it will not be possible to identify me in any publications.,I understand that my anonymised research data may be shared in accordance with open science guidelines (no one will be able to identify me if these data are shared).,I understand that I am free to withdraw from the study without penalty if I so wish.,I am over the age of 18.,I consent to take part in this study.",67c5d7d4bfda0ffd6d9a5ef8,55,Male,Yes,0,0,901.3,0,1,
19/11/2025 08:33,19/11/2025 08:50,IP Address,100,1024,TRUE,19/11/2025 08:50,R_8P4ULeu2aOBiEH0,anonymous,EN,0.899999976,"I have read the information sheet and understand I can email the researchers with any questions.,I understand that my personal information (e.g., my age, gender, and information about my language background) will be used for the purposes of this study, which have been explained to me.,I consent to the processing of my personal information for the purposes of this study, and I understand that any such information will be treated as strictly confidential and handled in accordance with the provisions of the Data Protection Act 2018.,I understand that the information I provide may be published as a report and I will be sent a copy if I wish. Confidentiality and anonymity will be maintained, and it will not be possible to identify me in any publications.,I understand that my anonymised research data may be shared in accordance with open science guidelines (no one will be able to identify me if these data are shared).,I understand that I am free to withdraw from the study without penalty if I so wish.,I am over the age of 18.,I consent to take part in this study.",5f61023f891bb903b975dbee,41,Female,Yes,895.831,895.831,900.049,1,1,
19/11/2025 08:32,19/11/2025 08:50,IP Address,100,1055,TRUE,19/11/2025 08:50,R_2ToqAp369oqlhW9,anonymous,EN,1,"I have read the information sheet and understand I can email the researchers with any questions.,I understand that my personal information (e.g., my age, gender, and information about my language background) will be used for the purposes of this study, which have been explained to me.,I consent to the processing of my personal information for the purposes of this study, and I understand that any such information will be treated as strictly confidential and handled in accordance with the provisions of the Data Protection Act 2018.,I understand that the information I provide may be published as a report and I will be sent a copy if I wish. Confidentiality and anonymity will be maintained, and it will not be possible to identify me in any publications.,I understand that my anonymised research data may be shared in accordance with open science guidelines (no one will be able to identify me if these data are shared).,I understand that I am free to withdraw from the study without penalty if I so wish.,I am over the age of 18.,I consent to take part in this study.",67665f7b0329bd3e30515ad2,35,Male,Yes,0,0,920.409,0,1,
19/11/2025 08:32,19/11/2025 08:50,IP Address,100,1088,TRUE,19/11/2025 08:50,R_2DOKEsDHzCZ7Jak,anonymous,EN,1,"I have read the information sheet and understand I can email the researchers with any questions.,I understand that my personal information (e.g., my age, gender, and information about my language background) will be used for the purposes of this study, which have been explained to me.,I consent to the processing of my personal information for the purposes of this study, and I understand that any such information will be treated as strictly confidential and handled in accordance with the provisions of the Data Protection Act 2018.,I understand that the information I provide may be published as a report and I will be sent a copy if I wish. Confidentiality and anonymity will be maintained, and it will not be possible to identify me in any publications.,I understand that my anonymised research data may be shared in accordance with open science guidelines (no one will be able to identify me if these data are shared).,I understand that I am free to withdraw from the study without penalty if I so wish.,I am over the age of 18.,I consent to take part in this study.",6710a58eeff954cb2243950e,54,Female,Yes,264.472,286.153,905.599,2,1,
19/11/2025 08:30,19/11/2025 08:50,IP Address,100,1215,TRUE,19/11/2025 08:50,R_2KB4WFsZPDsrYOZ,anonymous,EN,0.899999976,"I have read the information sheet and understand I can email the researchers with any questions.,I understand that my personal information (e.g., my age, gender, and information about my language background) will be used for the purposes of this study, which have been explained to me.,I consent to the processing of my personal information for the purposes of this study, and I understand that any such information will be treated as strictly confidential and handled in accordance with the provisions of the Data Protection Act 2018.,I understand that the information I provide may be published as a report and I will be sent a copy if I wish. Confidentiality and anonymity will be maintained, and it will not be possible to identify me in any publications.,I understand that my anonymised research data may be shared in accordance with open science guidelines (no one will be able to identify me if these data are shared).,I understand that I am free to withdraw from the study without penalty if I so wish.,I am over the age of 18.,I consent to take part in this study.",5baa21188a01680001ff1a6f,53,Female,Yes,5.42,907.485,908.997,2,2,
19/11/2025 08:32,19/11/2025 08:50,IP Address,100,1089,TRUE,19/11/2025 08:50,R_2y4cPbvCGTXeqSR,anonymous,EN,0.699999988,"I have read the information sheet and understand I can email the researchers with any questions.,I understand that my personal information (e.g., my age, gender, and information about my language background) will be used for the purposes of this study, which have been explained to me.,I consent to the processing of my personal information for the purposes of this study, and I understand that any such information will be treated as strictly confidential and handled in accordance with the provisions of the Data Protection Act 2018.,I understand that the information I provide may be published as a report and I will be sent a copy if I wish. Confidentiality and anonymity will be maintained, and it will not be possible to identify me in any publications.,I understand that my anonymised research data may be shared in accordance with open science guidelines (no one will be able to identify me if these data are shared).,I understand that I am free to withdraw from the study without penalty if I so wish.,I am over the age of 18.,I consent to take part in this study.",5e6a923f59a3bd04d5edc606,37,Female,Yes,3.36,905.951,906.89,5,5,
