StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q_RecaptchaScore,Participant ID,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Timing_First Click,Timing_Last Click,Timing_Page Submit,Timing_Click Count,SC0,PROLIFIC_PID,RunningScore,QuestionCount
20/11/2025 10:00,20/11/2025 10:19,IP Address,100,1138,TRUE,20/11/2025 10:19,R_8wbniBCJ6FyCkhT,anonymous,EN,1,6710a58eeff954cb2243950e,(b) iPSCs contain the specific genetic makeup of the patient with the heart condition.,(a) It allows for the creation of motor neurons that are genetically identical to the patient's.,(b) The interaction between motor neurons and other cell types contributing to the disease.,"(b) Statements 1, 2, and 3",(b) The over-reliance on animal models that do not accurately predict human responses.,"(b) It would identify failing drugs earlier, reducing the $4 billion sunk cost per success.",(b) The drug's efficacy and safety could vary due to the patient's different genetic makeup.,(a) A drug being effective for one person but causing harmful side effects in another.,(a) To ensure a representative model of the human population for drug testing.,(c) Can this drug be manufactured cheaply and distributed globally?,(b) They are less constrained by the profit motives and bureaucracy of large organizations.,(c) Their established structures may prevent them from adapting quickly or asking novel questions.,(d) Manually created cells cannot be differentiated into specific tissue types.,"(a) Automated systems can reprogram cells without using viruses, making them safer.",(d) It can perfectly reconstruct the damaged tissue after the disease has progressed.,(b) Reveal the fundamental cellular interactions underlying a disease.,(a) To suggest that stem cell research will eventually become a routine and accepted medical tool.,(d) To focus exclusively on research that could be quickly turned into profitable products.,(a) By allowing the drug to be tested on diverse cardiac cells before human trials.,(b) To re-screen the drug on diverse liver cell models for a potential new use.,,,,,15,,15,20
20/11/2025 10:04,20/11/2025 10:20,IP Address,100,968,TRUE,20/11/2025 10:20,R_24cjgYIouaP5oha,anonymous,EN,1,6156fef09d1ab07148870099,,,,,,,,,,,,,,,,,,,,,0,0,899.419,0,0,,0,0
20/11/2025 10:09,20/11/2025 10:20,IP Address,100,650,TRUE,20/11/2025 10:20,R_2iqbCw682QHgayY,anonymous,EN,1,5f6f2da91b5cc64887afd65d,(b) iPSCs contain the specific genetic makeup of the patient with the heart condition.,(a) It allows for the creation of motor neurons that are genetically identical to the patient's.,(b) The interaction between motor neurons and other cell types contributing to the disease.,"(b) Statements 1, 2, and 3",(b) The over-reliance on animal models that do not accurately predict human responses.,"(b) It would identify failing drugs earlier, reducing the $4 billion sunk cost per success.",(b) The drug's efficacy and safety could vary due to the patient's different genetic makeup.,(a) A drug being effective for one person but causing harmful side effects in another.,(a) To ensure a representative model of the human population for drug testing.,(c) Can this drug be manufactured cheaply and distributed globally?,(b) They are less constrained by the profit motives and bureaucracy of large organizations.,(c) Their established structures may prevent them from adapting quickly or asking novel questions.,(a) The process is not scalable and introduces variability between cell lines.,"(c) Manual creation would be too slow and inconsistent to produce reliable, comparable lines at scale.","(a) It provides a recording of the events leading up to the ""crash"" or disease state.",(b) Reveal the fundamental cellular interactions underlying a disease.,(a) To suggest that stem cell research will eventually become a routine and accepted medical tool.,(c) To advance critical research without political and financial interference.,(d) By proving the drug was completely safe for all genetic subtypes.,(b) To re-screen the drug on diverse liver cell models for a potential new use.,,,,,18,,18,20
20/11/2025 10:04,20/11/2025 10:21,IP Address,100,1057,TRUE,20/11/2025 10:21,R_2EmYNxy93j6qdte,anonymous,EN,0.899999976,67e2b6561ccb8f5bb055cc85,(b) iPSCs contain the specific genetic makeup of the patient with the heart condition.,(c) It provides a source of healthy motor neurons for transplantation into the patient.,(b) The interaction between motor neurons and other cell types contributing to the disease.,"(b) Statements 1, 2, and 3",(b) The over-reliance on animal models that do not accurately predict human responses.,"(b) It would identify failing drugs earlier, reducing the $4 billion sunk cost per success.",(b) The drug's efficacy and safety could vary due to the patient's different genetic makeup.,(a) A drug being effective for one person but causing harmful side effects in another.,(a) To ensure a representative model of the human population for drug testing.,(b) Does this drug cause liver damage in individuals with a specific genetic marker?,(d) They exclusively hire scientists who have worked in both academia and industry.,(c) Their established structures may prevent them from adapting quickly or asking novel questions.,(a) The process is not scalable and introduces variability between cell lines.,"(c) Manual creation would be too slow and inconsistent to produce reliable, comparable lines at scale.","(a) It provides a recording of the events leading up to the ""crash"" or disease state.",(b) Reveal the fundamental cellular interactions underlying a disease.,(a) To suggest that stem cell research will eventually become a routine and accepted medical tool.,(b) To protect valuable intellectual property from competing pharmaceutical companies.,(d) By proving the drug was completely safe for all genetic subtypes.,(a) To prove that the initial arthritis trial results were incorrect.,,,,,15,,15,20
20/11/2025 10:15,20/11/2025 10:23,IP Address,100,528,TRUE,20/11/2025 10:23,R_82hGsCsO3V7qeRD,anonymous,EN,1,66cb2e0bd2169db778550269,(a) iPSCs can differentiate into a wider variety of cell types than embryonic stem cells.,(a) It allows for the creation of motor neurons that are genetically identical to the patient's.,(b) The interaction between motor neurons and other cell types contributing to the disease.,"(b) Statements 1, 2, and 3",(b) The over-reliance on animal models that do not accurately predict human responses.,"(b) It would identify failing drugs earlier, reducing the $4 billion sunk cost per success.",(b) The drug's efficacy and safety could vary due to the patient's different genetic makeup.,(a) A drug being effective for one person but causing harmful side effects in another.,(a) To ensure a representative model of the human population for drug testing.,(a) Is this drug more effective than a placebo in a double-blind study?,(d) They exclusively hire scientists who have worked in both academia and industry.,(c) Their established structures may prevent them from adapting quickly or asking novel questions.,(a) The process is not scalable and introduces variability between cell lines.,"(c) Manual creation would be too slow and inconsistent to produce reliable, comparable lines at scale.",(b) It allows researchers to predict exactly when a person will get sick.,(b) Reveal the fundamental cellular interactions underlying a disease.,(a) To suggest that stem cell research will eventually become a routine and accepted medical tool.,(c) To advance critical research without political and financial interference.,(a) By allowing the drug to be tested on diverse cardiac cells before human trials.,(b) To re-screen the drug on diverse liver cell models for a potential new use.,,,,,16,,16,20
20/11/2025 10:13,20/11/2025 10:24,IP Address,100,646,TRUE,20/11/2025 10:24,R_8qkkkM3BYKdHiC4,anonymous,EN,1,56aa2ab9402d62000c7096f2,(a) iPSCs can differentiate into a wider variety of cell types than embryonic stem cells.,(c) It provides a source of healthy motor neurons for transplantation into the patient.,(b) The interaction between motor neurons and other cell types contributing to the disease.,(a) Statements 1 and 2,(b) The over-reliance on animal models that do not accurately predict human responses.,"(a) It would eliminate the need for clinical trials, reducing the timeline to under five years.",(b) The drug's efficacy and safety could vary due to the patient's different genetic makeup.,(a) A drug being effective for one person but causing harmful side effects in another.,(a) To ensure a representative model of the human population for drug testing.,(c) Can this drug be manufactured cheaply and distributed globally?,(a) They have more funding than both universities and pharmaceutical companies combined.,(d) They are unable to secure the necessary patents for new discoveries,(a) The process is not scalable and introduces variability between cell lines.,"(c) Manual creation would be too slow and inconsistent to produce reliable, comparable lines at scale.","(a) It provides a recording of the events leading up to the ""crash"" or disease state.",(b) Reveal the fundamental cellular interactions underlying a disease.,(a) To suggest that stem cell research will eventually become a routine and accepted medical tool.,(c) To advance critical research without political and financial interference.,(a) By allowing the drug to be tested on diverse cardiac cells before human trials.,(b) To re-screen the drug on diverse liver cell models for a potential new use.,,,,,13,,13,20
20/11/2025 10:09,20/11/2025 10:24,IP Address,100,920,TRUE,20/11/2025 10:24,R_2Fm3sBiRVYqAHDb,anonymous,EN,0.800000012,6023f94d1951e70ae21770ec,,,,,,,,,,,,,,,,,,,,,0,0,900.378,0,0,,0,0
20/11/2025 10:04,20/11/2025 10:25,IP Address,100,1247,TRUE,20/11/2025 10:25,R_8ikhpAELRRDTrTh,anonymous,EN,1,654a44f0addb5f41f1705b75,(b) iPSCs contain the specific genetic makeup of the patient with the heart condition.,(a) It allows for the creation of motor neurons that are genetically identical to the patient's.,(b) The interaction between motor neurons and other cell types contributing to the disease.,"(b) Statements 1, 2, and 3",(b) The over-reliance on animal models that do not accurately predict human responses.,"(b) It would identify failing drugs earlier, reducing the $4 billion sunk cost per success.",(d) The drug was likely not tested on embryonic stem cells from that population.,(a) A drug being effective for one person but causing harmful side effects in another.,(a) To ensure a representative model of the human population for drug testing.,(b) Does this drug cause liver damage in individuals with a specific genetic marker?,(b) They are less constrained by the profit motives and bureaucracy of large organizations.,(c) Their established structures may prevent them from adapting quickly or asking novel questions.,(a) The process is not scalable and introduces variability between cell lines.,"(c) Manual creation would be too slow and inconsistent to produce reliable, comparable lines at scale.",(d) It can perfectly reconstruct the damaged tissue after the disease has progressed.,(b) Reveal the fundamental cellular interactions underlying a disease.,(a) To suggest that stem cell research will eventually become a routine and accepted medical tool.,(c) To advance critical research without political and financial interference.,(a) By allowing the drug to be tested on diverse cardiac cells before human trials.,(b) To re-screen the drug on diverse liver cell models for a potential new use.,,,,,18,,18,20
20/11/2025 10:09,20/11/2025 10:25,IP Address,100,996,TRUE,20/11/2025 10:25,R_2lDrSqT7Xfy1nnE,anonymous,EN,1,6229dc51dff340226697778e,,,,,,,,,,,,,,,,,,,,,0,0,901.76,0,0,,0,0
20/11/2025 10:01,20/11/2025 10:26,IP Address,100,1479,TRUE,20/11/2025 10:26,R_845lis7plIZb2V3,anonymous,EN,1,5978f6f009bdcf000153f43d,(b) iPSCs contain the specific genetic makeup of the patient with the heart condition.,(a) It allows for the creation of motor neurons that are genetically identical to the patient's.,(b) The interaction between motor neurons and other cell types contributing to the disease.,(a) Statements 1 and 2,(b) The over-reliance on animal models that do not accurately predict human responses.,"(b) It would identify failing drugs earlier, reducing the $4 billion sunk cost per success.",(b) The drug's efficacy and safety could vary due to the patient's different genetic makeup.,(a) A drug being effective for one person but causing harmful side effects in another.,(d) To allow any person to have their own personal stem cell line for therapy.,(b) Does this drug cause liver damage in individuals with a specific genetic marker?,(b) They are less constrained by the profit motives and bureaucracy of large organizations.,(c) Their established structures may prevent them from adapting quickly or asking novel questions.,(a) The process is not scalable and introduces variability between cell lines.,"(c) Manual creation would be too slow and inconsistent to produce reliable, comparable lines at scale.","(a) It provides a recording of the events leading up to the ""crash"" or disease state.",(b) Reveal the fundamental cellular interactions underlying a disease.,(a) To suggest that stem cell research will eventually become a routine and accepted medical tool.,(c) To advance critical research without political and financial interference.,(a) By allowing the drug to be tested on diverse cardiac cells before human trials.,(b) To re-screen the drug on diverse liver cell models for a potential new use.,,,,,18,,18,20
20/11/2025 10:07,20/11/2025 10:26,IP Address,100,1163,TRUE,20/11/2025 10:26,R_2fGKx9OuyKXub3H,anonymous,EN,0.899999976,60ed501279c68ea1a313d0aa,(b) iPSCs contain the specific genetic makeup of the patient with the heart condition.,(c) It provides a source of healthy motor neurons for transplantation into the patient.,(c) The statistical probability of inheriting MND across different populations.,"(b) Statements 1, 2, and 3",(a) The lack of funding for late-stage clinical trials in human subjects.,"(a) It would eliminate the need for clinical trials, reducing the timeline to under five years.",(b) The drug's efficacy and safety could vary due to the patient's different genetic makeup.,(a) A drug being effective for one person but causing harmful side effects in another.,(a) To ensure a representative model of the human population for drug testing.,(b) Does this drug cause liver damage in individuals with a specific genetic marker?,(d) They exclusively hire scientists who have worked in both academia and industry.,(c) Their established structures may prevent them from adapting quickly or asking novel questions.,(a) The process is not scalable and introduces variability between cell lines.,"(c) Manual creation would be too slow and inconsistent to produce reliable, comparable lines at scale.",(d) It can perfectly reconstruct the damaged tissue after the disease has progressed.,(b) Reveal the fundamental cellular interactions underlying a disease.,(a) To suggest that stem cell research will eventually become a routine and accepted medical tool.,(c) To advance critical research without political and financial interference.,(a) By allowing the drug to be tested on diverse cardiac cells before human trials.,(b) To re-screen the drug on diverse liver cell models for a potential new use.,,,,,14,,14,20
20/11/2025 10:10,20/11/2025 10:27,IP Address,100,994,TRUE,20/11/2025 10:27,R_82JF6XoFfaNjhuY,anonymous,EN,1,5e70bd5480f43a0009625d4c,,,,,,,,,,,,,,,,,,,,,0,0,970.802,0,0,,0,0
20/11/2025 10:01,20/11/2025 10:27,IP Address,100,1578,TRUE,20/11/2025 10:27,R_8ozocvfVzTWl4kk,anonymous,EN,1,6702f60844f21087e0840e3d,(b) iPSCs contain the specific genetic makeup of the patient with the heart condition.,(a) It allows for the creation of motor neurons that are genetically identical to the patient's.,(b) The interaction between motor neurons and other cell types contributing to the disease.,"(b) Statements 1, 2, and 3",(b) The over-reliance on animal models that do not accurately predict human responses.,"(a) It would eliminate the need for clinical trials, reducing the timeline to under five years.",(b) The drug's efficacy and safety could vary due to the patient's different genetic makeup.,(a) A drug being effective for one person but causing harmful side effects in another.,(a) To ensure a representative model of the human population for drug testing.,(a) Is this drug more effective than a placebo in a double-blind study?,(c) They operate under different government regulations than academic labs.,(d) They are unable to secure the necessary patents for new discoveries,"(b) The process requires embryonic stem cells, which are ethically controversial.","(a) Automated systems can reprogram cells without using viruses, making them safer.",(d) It can perfectly reconstruct the damaged tissue after the disease has progressed.,(b) Reveal the fundamental cellular interactions underlying a disease.,(a) To suggest that stem cell research will eventually become a routine and accepted medical tool.,(a) To conduct research that was considered too dangerous for university labs.,(a) By allowing the drug to be tested on diverse cardiac cells before human trials.,(a) To prove that the initial arthritis trial results were incorrect.,,,,,11,,11,20
20/11/2025 10:12,20/11/2025 10:28,IP Address,100,963,TRUE,20/11/2025 10:28,R_8q7i7YqIujZPJF0,anonymous,EN,0.899999976,67765cb5eae26d06c3116c3a,,,,,,,,,,,,,,,,,,,,,902.844,902.844,904.809,1,0,,0,0
20/11/2025 10:09,20/11/2025 10:28,IP Address,100,1120,TRUE,20/11/2025 10:28,R_2VJev3WlhczKCmm,anonymous,EN,0.899999976,67c60b46b619cad09b65ab51,,,,,,,,,,,,,,,,,,,,,0,0,967.133,0,0,,0,0
20/11/2025 10:07,20/11/2025 10:29,IP Address,100,1319,TRUE,20/11/2025 10:29,R_2Ovc1EQjIpax8mB,anonymous,EN,0.300000012,56b78f11e77ebe000cbefe79,,,,,,,,,,,,,,,,,,,,,0,0,901.255,0,0,,0,0
20/11/2025 10:09,20/11/2025 10:29,IP Address,100,1207,TRUE,20/11/2025 10:29,R_2SvgKgr0LRZiob3,anonymous,EN,1,5a6725d4c0d836000107f6e7,(a) iPSCs can differentiate into a wider variety of cell types than embryonic stem cells.,(a) It allows for the creation of motor neurons that are genetically identical to the patient's.,(b) The interaction between motor neurons and other cell types contributing to the disease.,"(b) Statements 1, 2, and 3",(b) The over-reliance on animal models that do not accurately predict human responses.,"(b) It would identify failing drugs earlier, reducing the $4 billion sunk cost per success.",(b) The drug's efficacy and safety could vary due to the patient's different genetic makeup.,(a) A drug being effective for one person but causing harmful side effects in another.,(d) To allow any person to have their own personal stem cell line for therapy.,(b) Does this drug cause liver damage in individuals with a specific genetic marker?,(b) They are less constrained by the profit motives and bureaucracy of large organizations.,(c) Their established structures may prevent them from adapting quickly or asking novel questions.,(a) The process is not scalable and introduces variability between cell lines.,"(c) Manual creation would be too slow and inconsistent to produce reliable, comparable lines at scale.",(c) It proves that all diseases are as complex and catastrophic as a plane crash.,(c) Eliminate the need for animal testing in all medical research.,(d) To highlight that both fields rely on the same laboratory techniques and equipment.,(c) To advance critical research without political and financial interference.,(a) By allowing the drug to be tested on diverse cardiac cells before human trials.,(c) To create a new group of patients who would not experience arthritis.,,,,,14,,14,20
20/11/2025 10:14,20/11/2025 10:30,IP Address,100,936,TRUE,20/11/2025 10:30,R_2R3ibwMxjSnunSx,anonymous,EN,0.899999976,627e7e91d0e389328983e765,,,,,,,,,,,,,,,,,,,,,0,0,899.492,0,0,,0,0
20/11/2025 10:20,20/11/2025 10:31,IP Address,100,673,TRUE,20/11/2025 10:31,R_8D6dctIwAfymMCd,anonymous,EN,1,581ccd016c73180001fa5b2a,(b) iPSCs contain the specific genetic makeup of the patient with the heart condition.,(a) It allows for the creation of motor neurons that are genetically identical to the patient's.,(b) The interaction between motor neurons and other cell types contributing to the disease.,(a) Statements 1 and 2,(b) The over-reliance on animal models that do not accurately predict human responses.,"(b) It would identify failing drugs earlier, reducing the $4 billion sunk cost per success.",(b) The drug's efficacy and safety could vary due to the patient's different genetic makeup.,(a) A drug being effective for one person but causing harmful side effects in another.,(a) To ensure a representative model of the human population for drug testing.,(b) Does this drug cause liver damage in individuals with a specific genetic marker?,(b) They are less constrained by the profit motives and bureaucracy of large organizations.,(c) Their established structures may prevent them from adapting quickly or asking novel questions.,(a) The process is not scalable and introduces variability between cell lines.,"(c) Manual creation would be too slow and inconsistent to produce reliable, comparable lines at scale.","(a) It provides a recording of the events leading up to the ""crash"" or disease state.",(b) Reveal the fundamental cellular interactions underlying a disease.,(d) To highlight that both fields rely on the same laboratory techniques and equipment.,(c) To advance critical research without political and financial interference.,(a) By allowing the drug to be tested on diverse cardiac cells before human trials.,(b) To re-screen the drug on diverse liver cell models for a potential new use.,,,,,18,,18,20
