StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q_RecaptchaScore,Participant ID,Q1 ,Q2,Q3,Q4,"Q5 ","Q6 ",Q7,Q8,Q9,Q10,Q11,Q12,"Q13 ","Q14 ",Q15,Q16,"Q17 ","Q18 ","Q19 ",Q20,SC0,PROLIFIC_PID
2025-11-22 10:01:38,2025-11-22 10:12:06,IP Address,100,627,True,2025-11-22 10:12:06,R_2LPCWhWKOjSyjo5,anonymous,EN,0.800000011920929,5978f6f009bdcf000153f43d,(c) Their inherent resistance to the patient's immune system after differentiation.,(d) Stimulating existing damaged neurons to release more dopamine.,(c) Provides a unique breakthrough medication for different diseases.,(d) A compound that is non-toxic for animals may cause serious harm in humans.,"(d) Improving the rate, capacity, and uniformity in the production of diverse human cell lines for testing.","(b) To establish a conducive research environment, away from external pressures.",(d) The gap in resources and processes that prevents early research from translating into industrial innovations.,(d) By storing a wide range of genetic information that can be used to study diseases,(c) There are strong political and financial opposition towards the use of stem cells.,(d) The tendency for firms to prioritize profits over effectiveness of their medications.,(d) iPSCs can tackle diseased cells without rejection from the immune system.,(b) Their operational structures may impede rapid adaptation and novel inquiry.,(a) Statements 1 and 2,(c) Function as a indestructible repository for individual patient-specific data.,(a) It removes the need for animal testing which may not be transferrable to humans.,(d) Tools to predict individual drug responses based on genetic makeup.,"(c)  The slow, laborious, and inconsistent nature of manual stem cell line creation.",(b) A second cell type was discovered to be contributing to the disease.,"(c) Statements 2, 3, and 4",(c) Every individual has a different genetic makeup.,11,
2025-11-22 10:02:54,2025-11-22 10:13:03,IP Address,100,608,True,2025-11-22 10:13:03,R_2smin2igwnScxI0,anonymous,EN,1,6725c4a8e3ab0787551acf38,"(d) Their natural occurrence in adult pancreatic tissue, simplifying extraction.",(d) Stimulating existing damaged neurons to release more dopamine.,(a) Allows us to better understand disease-preventing strategies.,(d) A compound that is non-toxic for animals may cause serious harm in humans.,"(c) Eliminating the need for human clinical trials in the later stages of development, thereby reducing ethical concerns.","(b) To establish a conducive research environment, away from external pressures.",(c) The high costs that educational institutions will incur to materialize innovations.,(d) By storing a wide range of genetic information that can be used to study diseases,(b) There is minimal financial support from private firms due to disinterest and ignorance.,(c) The inaccuracy of early-stage models to predict a drug's efficacy in humans.,(a) iPSCs can differentiate into various cell types pertinent to the disease.,(a) They are more tightly regulated by the government and face more stringent checks.,(a) Statements 1 and 2,(a) Securely store extensive and complex patient genetic information.,(a) It removes the need for animal testing which may not be transferrable to humans.,(d) Tools to predict individual drug responses based on genetic makeup.,"(c)  The slow, laborious, and inconsistent nature of manual stem cell line creation.",(b) A second cell type was discovered to be contributing to the disease.,"(a) Statements 1, 2, and 3",(c) Every individual has a different genetic makeup.,10,
2025-11-22 10:02:24,2025-11-22 10:13:37,IP Address,100,672,True,2025-11-22 10:13:37,R_8wyKq9I7BHLVPiw,anonymous,EN,1,5d0e091ccd9c9300191cb9c9,"(a) Their ability to differentiate into any specialized cell type, including beta cells.","(b) Differentiating into new, healthy cells that can release dopamine.",(a) Allows us to better understand disease-preventing strategies.,(d) A compound that is non-toxic for animals may cause serious harm in humans.,"(d) Improving the rate, capacity, and uniformity in the production of diverse human cell lines for testing.","(b) To establish a conducive research environment, away from external pressures.",(d) The gap in resources and processes that prevents early research from translating into industrial innovations.,(d) By storing a wide range of genetic information that can be used to study diseases,(c) There are strong political and financial opposition towards the use of stem cells.,(a) The difficulty in obtaining sufficient funds for the costly final phases of clinical trials.,(b) iPSCs can naturally become immune to the viral vectors used during their creation.,"(c) Their primary focus is restricted to late-stage, highly profitable drug development.","(d) Statements 1, 2, 3, and 4",(c) Function as a indestructible repository for individual patient-specific data.,(a) It removes the need for animal testing which may not be transferrable to humans.,(d) Tools to predict individual drug responses based on genetic makeup.,"(c)  The slow, laborious, and inconsistent nature of manual stem cell line creation.",(b) A second cell type was discovered to be contributing to the disease.,(b) Statements 1 and 2,(c) Every individual has a different genetic makeup.,12,
2025-11-22 10:03:08,2025-11-22 10:15:12,IP Address,100,723,True,2025-11-22 10:15:12,R_80MWrC6Ouw05nHC,anonymous,EN,1,5e9593f997af0e19c6073957,"(b) Their capacity for indefinite self-renewal, ensuring an ample supply for research.","(b) Differentiating into new, healthy cells that can release dopamine.",(a) Allows us to better understand disease-preventing strategies.,(d) A compound that is non-toxic for animals may cause serious harm in humans.,"(d) Improving the rate, capacity, and uniformity in the production of diverse human cell lines for testing.","(b) To establish a conducive research environment, away from external pressures.",(d) The gap in resources and processes that prevents early research from translating into industrial innovations.,(a) By demonstrating how specific genetic predispositions manifest as functional changes at the cellular level as the disease unfolds.,(c) There are strong political and financial opposition towards the use of stem cells.,(c) The inaccuracy of early-stage models to predict a drug's efficacy in humans.,(a) iPSCs can differentiate into various cell types pertinent to the disease.,(b) Their operational structures may impede rapid adaptation and novel inquiry.,"(d) Statements 1, 2, 3, and 4",(b) Reveal the underlying cellular and molecular mechanisms of disease.,(b) It provides a platform to observe drug effects on human lung cells.,(d) Tools to predict individual drug responses based on genetic makeup.,(a) The ethical concerns surrounding the manual sourcing of embryonic stem cells.,(b) A second cell type was discovered to be contributing to the disease.,"(d) Statements 1, 2, 3, and 4",(c) Every individual has a different genetic makeup.,17,
2025-11-22 10:01:30,2025-11-22 10:16:07,IP Address,100,876,True,2025-11-22 10:16:07,R_2DeCpztXaTIyKhy,anonymous,EN,1,682b3f63d0e2c4eff64fe664,"(a) Their ability to differentiate into any specialized cell type, including beta cells.",(a) Dividing controllably in the brain without forming tumours.,(a) Allows us to better understand disease-preventing strategies.,(d) A compound that is non-toxic for animals may cause serious harm in humans.,"(d) Improving the rate, capacity, and uniformity in the production of diverse human cell lines for testing.","(b) To establish a conducive research environment, away from external pressures.",(d) The gap in resources and processes that prevents early research from translating into industrial innovations.,(d) By storing a wide range of genetic information that can be used to study diseases,(c) There are strong political and financial opposition towards the use of stem cells.,(b) The lack of an adequately representative sample of human subjects for testing.,(d) iPSCs can tackle diseased cells without rejection from the immune system.,(b) Their operational structures may impede rapid adaptation and novel inquiry.,(a) Statements 1 and 2,(a) Securely store extensive and complex patient genetic information.,(a) It removes the need for animal testing which may not be transferrable to humans.,(d) Tools to predict individual drug responses based on genetic makeup.,"(c)  The slow, laborious, and inconsistent nature of manual stem cell line creation.",(b) A second cell type was discovered to be contributing to the disease.,"(d) Statements 1, 2, 3, and 4",(c) Every individual has a different genetic makeup.,14,
2025-11-22 10:01:28,2025-11-22 10:17:06,IP Address,100,938,True,2025-11-22 10:17:06,R_2O6e6mItAN3gXuk,anonymous,EN,1,5e19b24b2bf9512392d6dd90,"(a) Their ability to differentiate into any specialized cell type, including beta cells.",(d) Stimulating existing damaged neurons to release more dopamine.,(c) Provides a unique breakthrough medication for different diseases.,(d) A compound that is non-toxic for animals may cause serious harm in humans.,"(d) Improving the rate, capacity, and uniformity in the production of diverse human cell lines for testing.",(d) To consolidate different stem cell research globally under one central organization.,(d) The gap in resources and processes that prevents early research from translating into industrial innovations.,(d) By storing a wide range of genetic information that can be used to study diseases,(c) There are strong political and financial opposition towards the use of stem cells.,(c) The inaccuracy of early-stage models to predict a drug's efficacy in humans.,(a) iPSCs can differentiate into various cell types pertinent to the disease.,(d) They are subject to more intense ethical scrutiny than smaller institutions.,"(d) Statements 1, 2, 3, and 4",(a) Securely store extensive and complex patient genetic information.,(c) It ensures that the developed drug will be effective in all patients.,(c) A shift in animal testing models to human testing models.,"(c)  The slow, laborious, and inconsistent nature of manual stem cell line creation.",(c) The motor neurones were not actually dying in the dish.,"(d) Statements 1, 2, 3, and 4",(c) Every individual has a different genetic makeup.,10,
2025-11-22 10:04:50,2025-11-22 10:17:29,IP Address,100,758,True,2025-11-22 10:17:29,R_8jd0YfPMNgaawxd,anonymous,EN,1,5f6f2da91b5cc64887afd65d,"(a) Their ability to differentiate into any specialized cell type, including beta cells.","(b) Differentiating into new, healthy cells that can release dopamine.",(a) Allows us to better understand disease-preventing strategies.,(d) A compound that is non-toxic for animals may cause serious harm in humans.,"(d) Improving the rate, capacity, and uniformity in the production of diverse human cell lines for testing.","(b) To establish a conducive research environment, away from external pressures.",(c) The high costs that educational institutions will incur to materialize innovations.,(a) By demonstrating how specific genetic predispositions manifest as functional changes at the cellular level as the disease unfolds.,(c) There are strong political and financial opposition towards the use of stem cells.,(c) The inaccuracy of early-stage models to predict a drug's efficacy in humans.,(d) iPSCs can tackle diseased cells without rejection from the immune system.,"(c) Their primary focus is restricted to late-stage, highly profitable drug development.",(a) Statements 1 and 2,(b) Reveal the underlying cellular and molecular mechanisms of disease.,(b) It provides a platform to observe drug effects on human lung cells.,(d) Tools to predict individual drug responses based on genetic makeup.,"(c)  The slow, laborious, and inconsistent nature of manual stem cell line creation.",(c) The motor neurones were not actually dying in the dish.,"(d) Statements 1, 2, 3, and 4",(c) Every individual has a different genetic makeup.,16,
2025-11-22 10:07:13,2025-11-22 10:19:11,IP Address,100,717,True,2025-11-22 10:19:11,R_8eQwaxRgzCGFPxh,anonymous,EN,1,677a8e5affbe5673b3a79e6b,"(a) Their ability to differentiate into any specialized cell type, including beta cells.",(d) Stimulating existing damaged neurons to release more dopamine.,(c) Provides a unique breakthrough medication for different diseases.,(d) A compound that is non-toxic for animals may cause serious harm in humans.,"(d) Improving the rate, capacity, and uniformity in the production of diverse human cell lines for testing.","(b) To establish a conducive research environment, away from external pressures.",(c) The high costs that educational institutions will incur to materialize innovations.,(a) By demonstrating how specific genetic predispositions manifest as functional changes at the cellular level as the disease unfolds.,(b) There is minimal financial support from private firms due to disinterest and ignorance.,(b) The lack of an adequately representative sample of human subjects for testing.,"(c) iPSCs can turn into embryonic stem cells to differentiate into specialized cell types. ",(b) Their operational structures may impede rapid adaptation and novel inquiry.,"(d) Statements 1, 2, 3, and 4",(c) Function as a indestructible repository for individual patient-specific data.,(a) It removes the need for animal testing which may not be transferrable to humans.,(d) Tools to predict individual drug responses based on genetic makeup.,"(c)  The slow, laborious, and inconsistent nature of manual stem cell line creation.",(b) A second cell type was discovered to be contributing to the disease.,"(d) Statements 1, 2, 3, and 4",(c) Every individual has a different genetic makeup.,11,
2025-11-22 10:07:08,2025-11-22 10:20:04,IP Address,100,776,True,2025-11-22 10:20:04,R_2XiZZuxGlOkAfG9,anonymous,EN,1,67665f7b0329bd3e30515ad2,"(a) Their ability to differentiate into any specialized cell type, including beta cells.",(a) Dividing controllably in the brain without forming tumours.,(c) Provides a unique breakthrough medication for different diseases.,(b) A drug for liver conditions may unexpectedly impact neural cells in human studies.,"(d) Improving the rate, capacity, and uniformity in the production of diverse human cell lines for testing.","(b) To establish a conducive research environment, away from external pressures.",(d) The gap in resources and processes that prevents early research from translating into industrial innovations.,(d) By storing a wide range of genetic information that can be used to study diseases,(c) There are strong political and financial opposition towards the use of stem cells.,(d) The tendency for firms to prioritize profits over effectiveness of their medications.,(a) iPSCs can differentiate into various cell types pertinent to the disease.,"(c) Their primary focus is restricted to late-stage, highly profitable drug development.","(b) Statements 1, 2, and 3",(a) Securely store extensive and complex patient genetic information.,(a) It removes the need for animal testing which may not be transferrable to humans.,(d) Tools to predict individual drug responses based on genetic makeup.,(d) The high financial cost needed to sequence patient genomes for iPSC generation.,(b) A second cell type was discovered to be contributing to the disease.,"(d) Statements 1, 2, 3, and 4",(c) Every individual has a different genetic makeup.,10,
2025-11-22 10:10:14,2025-11-22 10:20:27,IP Address,100,613,True,2025-11-22 10:20:27,R_2oK04gSXUdUJG81,anonymous,EN,1,5f57be602095072bb238a7ab,"(a) Their ability to differentiate into any specialized cell type, including beta cells.","(b) Differentiating into new, healthy cells that can release dopamine.",(c) Provides a unique breakthrough medication for different diseases.,(b) A drug for liver conditions may unexpectedly impact neural cells in human studies.,(a) Considerably reducing the expertise needed by laboratory staff to conduct research.,"(b) To establish a conducive research environment, away from external pressures.",(d) The gap in resources and processes that prevents early research from translating into industrial innovations.,(d) By storing a wide range of genetic information that can be used to study diseases,(c) There are strong political and financial opposition towards the use of stem cells.,(c) The inaccuracy of early-stage models to predict a drug's efficacy in humans.,(d) iPSCs can tackle diseased cells without rejection from the immune system.,"(c) Their primary focus is restricted to late-stage, highly profitable drug development.","(d) Statements 1, 2, 3, and 4",(a) Securely store extensive and complex patient genetic information.,(c) It ensures that the developed drug will be effective in all patients.,(d) Tools to predict individual drug responses based on genetic makeup.,"(c)  The slow, laborious, and inconsistent nature of manual stem cell line creation.",(b) A second cell type was discovered to be contributing to the disease.,"(d) Statements 1, 2, 3, and 4",(c) Every individual has a different genetic makeup.,11,
2025-11-22 10:05:44,2025-11-22 10:20:41,IP Address,100,897,True,2025-11-22 10:20:41,R_8Oy7zKo64936x0J,anonymous,EN,0.8999999761581421,5827634ea80bf4000199994b,"(a) Their ability to differentiate into any specialized cell type, including beta cells.","(b) Differentiating into new, healthy cells that can release dopamine.",(c) Provides a unique breakthrough medication for different diseases.,(b) A drug for liver conditions may unexpectedly impact neural cells in human studies.,"(c) Eliminating the need for human clinical trials in the later stages of development, thereby reducing ethical concerns.","(b) To establish a conducive research environment, away from external pressures.",(d) The gap in resources and processes that prevents early research from translating into industrial innovations.,(d) By storing a wide range of genetic information that can be used to study diseases,(c) There are strong political and financial opposition towards the use of stem cells.,(a) The difficulty in obtaining sufficient funds for the costly final phases of clinical trials.,"(c) iPSCs can turn into embryonic stem cells to differentiate into specialized cell types. ","(c) Their primary focus is restricted to late-stage, highly profitable drug development.",(a) Statements 1 and 2,(a) Securely store extensive and complex patient genetic information.,(a) It removes the need for animal testing which may not be transferrable to humans.,(d) Tools to predict individual drug responses based on genetic makeup.,(d) The high financial cost needed to sequence patient genomes for iPSC generation.,(b) A second cell type was discovered to be contributing to the disease.,"(c) Statements 2, 3, and 4",(c) Every individual has a different genetic makeup.,9,
