"PROLIFIC_PID","Group","prop_correct","practice_prop"
"6658ba167affbe300577b93d","retrievalpractice",0.75,0.8
"6007421356226920359b5f3e","retrievalpractice",0.7,0.65
"667c308704a084c0aeafb8b4","elaboratedexplanation",0.7,NA
"629ee9680199e14b1bfafaf3","elaboratedexplanation",0.65,NA
"5efe25a46e799912a9e250c3","elaboratedexplanation",0.6,NA
"5e1cc37a173db405a7a33774","elaboratedexplanation",0.6,NA
"65c8d7f023278532f6f49139","retrievalpractice",0.85,0.85
"6575c4ea606a4f38b29e4e5d","elaboratedexplanation",0.6,NA
"6765e63b9cbc0ec185d7e8fa","elaboratedexplanation",0.85,NA
"659d874e294242ce3de681c8","retrievalpractice",0.55,0.85
"5b15a1369663ee000146421e","elaboratedexplanation",0.9,NA
"6694f651114152694e96d7c4","elaboratedexplanation",0.5,NA
"67c8c28fccf665e3c35c44ce","elaboratedexplanation",0.5,NA
"5d62e42406ed5a001a2084f3","elaboratedexplanation",0.55,NA
"670e851632b444a56d13cfb8","elaboratedexplanation",0.55,NA
"66acbaf5c803ca1a1ef3f056","elaboratedexplanation",0.3,NA
"660d6a1f4a7f1337de235daa","retrievalpractice",0.8,0.95
"5fcfb1fe79b8060e0662270a","elaboratedexplanation",0.8,NA
"5e9ffa9ee172201b04f1a4c6","retrievalpractice",0.6,0.85
"5f06234e59035e156f46d69a","retrievalpractice",0.65,0.8
"672b19cc67687cb549eb412c","elaboratedexplanation",0.6,NA
"59d4283121977e0001d62f46","elaboratedexplanation",0.65,NA
"5d7f598628843a00181eb444","elaboratedexplanation",0.5,NA
"5e7fa0e918b10804bb87eb63","retrievalpractice",0.65,0.9
"6304deb78f14a18b18ceed4a","retrievalpractice",0.9,0.9
"5ad22ebba010190001b363e8","retrievalpractice",0.9,0.85
"60fcb280d58f26d33cb004a6","elaboratedexplanation",0.35,NA
"66fad26e4b07f6149ceb136d","retrievalpractice",0.75,0.9
"67d7598ad9aacf9073ca130d","elaboratedexplanation",0.7,NA
"641384b3dffcf39ec42d3c23","retrievalpractice",0.65,0.9
"62e02f9779587a5557757264","elaboratedexplanation",0.3,NA
"6725c4a8e3ab0787551acf38","retrievalpractice",0.4,0.6
"5df0a8f97505ad0f45eca4d7","retrievalpractice",0.9,0.95
"6107247967dedd82e06c6f27","retrievalpractice",0.7,0.9
"6128d76bf2f6b1df98035506","elaboratedexplanation",0.3,NA
"631610af8e747093cd90e00d","elaboratedexplanation",0.8,NA
"60f816ff1fa74fcfab532378","elaboratedexplanation",0.75,NA
"5f1833a16e55c522eeaf4dbe","retrievalpractice",0.45,0.85
"677985c03cd33b60c6e0ee91","retrievalpractice",0.55,0.85
"67d9fd7ad09a3cfeec820358","retrievalpractice",0.4,0.4
"5d8b66f5d189bd001a378273","elaboratedexplanation",0.3,NA
"58cd0bc2a47dbb000171dc8b","retrievalpractice",0.6,0.9
"57655a2aea19ef00016351cf","elaboratedexplanation",0.9,NA
"614ee866eb22f6b60f499a91","elaboratedexplanation",0.75,NA
"676056c4ad585b4aeebf6154","retrievalpractice",0.75,0.8
"677dd8f9b2cb71d4c20618e3","retrievalpractice",0.9,0.85
"651ac88823e71c05dbc1ff63","elaboratedexplanation",0.75,NA
"5e5521580ee1b951df544c3c","retrievalpractice",0.7,0.85
"66a608dc0a4f33f35327e273","retrievalpractice",0.45,0.95
"676055469b245b53e81358d0","retrievalpractice",0.45,0.8
"6658b23d488052210af6eb17","elaboratedexplanation",0.45,NA
"5eb9499bcbc2140180e31037","retrievalpractice",0.55,0.85
"60719f4b18e2b30c9e5a562d","retrievalpractice",0.8,0.95
"5b27587e007d870001c7de84","retrievalpractice",0.5,0.8
"5f3a7e7b3a55e009ff81175e","elaboratedexplanation",0.35,NA
"66c20b634a3b292d25596fbc","elaboratedexplanation",0.55,NA
"66d608e93c32a8b90bb92ae4","retrievalpractice",0.7,1
"5d920df12b679a00182bbc73","elaboratedexplanation",0.7,NA
"5d24e4ba5018e900158d31f1","elaboratedexplanation",0.6,NA
"5afc14a00b2d5f00015693b4","elaboratedexplanation",0.3,NA
"5ec6d054e1f1a71078cfbcda","retrievalpractice",0.3,0.65
"6671e1ad81d3578f72ab17ad","retrievalpractice",0.65,0.85
"673321669f5c5d443040682b","elaboratedexplanation",0.85,NA
"6704539fe462b87182866f14","retrievalpractice",0.7,0.85
"6447a21bdb359b012f49465b","elaboratedexplanation",0.5,NA
"62da562ad9942a440f6986c9","retrievalpractice",0.7,1
"6761f75300af0601c94fb5fa","elaboratedexplanation",0.5,NA
"6229dc51dff340226697778e","retrievalpractice",0.85,0.85
"62ed1d676bc4d1eaeae21c1b","retrievalpractice",0.45,0.7
"67659224c577c7e97b074f43","elaboratedexplanation",0.8,NA
"64526be1abfd84e77ccaeb63","retrievalpractice",0.65,0.9
"5e909d6c5321c13abee11725","retrievalpractice",0.55,0.6
"5b07e80e9d397e0001919fba","elaboratedexplanation",0.65,NA
"667364dab7a2b7865029fe6f","elaboratedexplanation",0.8,NA
"63d79f8bb2ac868ba9fd695f","elaboratedexplanation",0.35,NA
"66d1a3beb6b1c3ca21b3229c","retrievalpractice",0.45,0.7
"67d00ceb0de1512e5669d4c5","retrievalpractice",0.2,0.65
"67aca624ef17740af213bc30","elaboratedexplanation",0.5,NA
"6727b19c12511694cfc3af0c","retrievalpractice",0.65,1
"678f621c69647fceb87676a1","retrievalpractice",0.7,1
"647869e6f69318bacc341d53","elaboratedexplanation",0.55,NA
"6708e405424678d90434ac89","elaboratedexplanation",0.6,NA
"66420f13760bbfe0ee3af466","elaboratedexplanation",0.55,NA
"6658be27269c7299f759d8e9","elaboratedexplanation",0.5,NA
"572bcdbb34b25a0010ddd977","retrievalpractice",0.8,0.9
"5bb756696322c5000159756c","retrievalpractice",0.45,0.85
"56b78f11e77ebe000cbefe79","retrievalpractice",0.8,0.95
"6730f965beb7513190d2be93","retrievalpractice",0.75,0.9
"5657688f995911000a482d40","elaboratedexplanation",0.8,NA
"59edb62fe75b450001a69775","elaboratedexplanation",0.35,NA
"6813930fa89acc3bcd677b3b","retrievalpractice",0.75,0.75
"6693e53801f738a823813ed4","retrievalpractice",0.5,0.95
"6234a3d5cd2f63c705e5842d","retrievalpractice",0.8,1
"5fb8dc3c8e8e964121c6aa4c","elaboratedexplanation",0.7,NA
"6668c0560adc0e65f62c7c5f","elaboratedexplanation",0.65,NA
"67665f7b0329bd3e30515ad2","retrievalpractice",0.5,0.95
"672be724a1f9a800fcbd3d02","elaboratedexplanation",0.55,NA
"672f246d1d67d71960402ef8","elaboratedexplanation",0.65,NA
"5d0913ff65eb3400019cc1d8","elaboratedexplanation",0.7,NA
"6093e78e30fb90f291b261f9","elaboratedexplanation",0.6,NA
"5b5f23420085cb0001872849","retrievalpractice",0.55,0.75
"672380a64e984ba03695602f","retrievalpractice",0.3,0.65
"679a0366c8793f4845badfd6","retrievalpractice",0.4,0.9
"5d85f3490a530a001a4e55aa","retrievalpractice",0.25,0.75
"667d404c940badc47d80d670","elaboratedexplanation",0.5,NA
"62f108ab1d119c891d45ae6a","elaboratedexplanation",0.7,NA
"5e19961e1b8014222555c3b2","retrievalpractice",0.45,0.55
"58ededd652ac63000154a4e6","retrievalpractice",0.55,0.65
"6760acee7b448e51215b1910","elaboratedexplanation",0.8,NA
"5ba60abd9629a90001b36fdc","elaboratedexplanation",0.6,NA
"66927ac65524897b604bc734","elaboratedexplanation",0.45,NA
"65aea1ad4ec9136d74dc5095","elaboratedexplanation",0.45,NA
"63d16bb09fbf6b74afb1a010","elaboratedexplanation",0.4,NA
"58945874b5496d00018cfe1c","elaboratedexplanation",0.5,NA
"671ac509e93a57b5220b3d4e","retrievalpractice",0.35,0.35
"5da760eae8174b001640d369","elaboratedexplanation",0.6,NA
"5f25419d6c25411a2b68ddd8","retrievalpractice",0.5,0.8
"61680035775d6be6c3034464","retrievalpractice",0.75,0.9
"62029bb4ef1cb18a1337c8a8","elaboratedexplanation",0.7,NA
"5f84e472052cf81ae5752252","retrievalpractice",0.75,0.85
"63d5384e1162358d3233adf9","elaboratedexplanation",0.45,NA
"6779a7384e1d652039e569e1","retrievalpractice",0.75,0.8
"665c3ea072dfed905f1465a8","retrievalpractice",0.4,0.55
"5bbb5e3f118c0600013c3202","elaboratedexplanation",0.15,NA
"6786682cfe5424ad10237085","elaboratedexplanation",0.5,NA
"665a2e401d3f242a05ff9933","elaboratedexplanation",0.55,NA
