"Participant.ID","Group","prop_correct","practice_prop"
"59a3b1a35fd74b0001abf9c1","Restudy",0.5,NA
"58106d17a513590001b1ec9e","Retrieval",0.65,0.65
"67c8c28fccf665e3c35c44ce","Retrieval",0.45,0.65
"5a47473899311d0001df550e","Retrieval",0.7,0.95
"648978eef0a4e73b67c9c153","Restudy",0.55,NA
"5ead58cf86ea9b025ef6c153","Restudy",0.2,NA
"5ace82e135eccf0001a11c96","Restudy",0.65,NA
"60fece5dbc60be057b1917aa","Retrieval",0.35,0.6
"5a764e848fe2dc000105739c","Restudy",0.5,NA
"6658c4239af9537eefdfbcc9","Retrieval",0.15,0.7
"653bc92a11da9d70e7ad81c3","Retrieval",0.4,0.5
"67765cb5eae26d06c3116c3a","Restudy",0.8,NA
"5d812e3c613aa900188746a6","Retrieval",0.45,0.8
"5baa21188a01680001ff1a6f","Retrieval",0.6,0.8
"66faeeeafd0c076eec88cfcb","Restudy",0.2,NA
"5e6a923f59a3bd04d5edc606","Restudy",0.35,NA
"63d3f951dd046a4bc2b9cea9","Retrieval",0.65,1
"5baa7acf14779d0001a23968","Retrieval",0.85,1
"600a97750a20c621b3d6d358","Retrieval",0.65,0.95
"55057a56fdf99b5b566a70bb","Restudy",0.65,NA
"5e35373e1ddb124e6c306747","Restudy",0.7,NA
"6103e1d7b7c388fda60e0bf6","Restudy",0.65,NA
"677650da17489eb0f07dec0d","Restudy",0.6,NA
"651c1d7524852e9f9d614ce3","Retrieval",0.4,0.8
"5f514593ea1e87365b9cb05f","Retrieval",0.7,0.85
"5f61023f891bb903b975dbee","Restudy",0.6,NA
"6053e01a6a8e8516ba7d47a7","Restudy",0.65,NA
"5c8c22bafeeaeb0016207a00","Restudy",0.7,NA
"6156fef09d1ab07148870099","Restudy",0.2,NA
"655e09fc282e4139c82f834a","Retrieval",0.8,0.95
"641384b3dffcf39ec42d3c23","Restudy",0.75,NA
"6020b4d4010b8e6e89d1a6a0","Retrieval",0.85,0.95
"6304db4577830d43f42d4d26","Restudy",0.6,NA
"5c4782d9cae0ab000188d2b4","Retrieval",0.55,0.95
"5c5cad3e4ee81200018eafe2","Restudy",0.65,NA
"5cfbf333ac28dd00196e807b","Restudy",0.6,NA
"5d29c671bc573b00165c9014","Retrieval",0.5,1
"68138b62cc045bd133cfcf6b","Restudy",0.45,NA
"67d7de6a1dfb7a9e45d11308","Retrieval",0.45,0.75
"634d7250f674c11a71d1b88e","Restudy",0.7,NA
"66682215a0ceedec14b62fe6","Restudy",0.45,NA
"5bbb5e3f118c0600013c3202","Restudy",0.25,NA
"677c455afc1062faab5b165e","Retrieval",0.7,0.65
"65a3f461bfa22dde98c10436","Retrieval",0.55,0.35
"66b5172c8f0bd3b23ce66c22","Restudy",0.6,NA
"5e5913ae7a584411eb9ab586","Restudy",0.55,NA
"672cf6205a2ec818a3f9a822","Retrieval",0.35,0.55
"64ff8f28eb8d29f0814080fa","Retrieval",0.7,0.9
